Key,Type or Unit,Comment
Accompaniment,,Band/orchestra/accompaniment/musician
ActiveFormatDescription,,Active Format Description (AFD value); Active Format Description (text)
ActiveFormatDescription_MuxingMode,,Active Format Description (AFD value) muxing mode (Ancillary or Raw stream)
Actor,,Real name of an actor/actress playing a role in the movie
Actor_Character,,Name of the character an actor or actress plays in this movie
Added_Date,,Date/year the item was added to the owners collection
Album,,Name of an audio-album. Eg : The Joshua Tree; Original name of the album
Album_More,,More info about the album
Album_ReplayGain_Gain, dB,The gain to apply to reach 89dB SPL on playback
Album_ReplayGain_Peak,,The maximum absolute peak value of the item
Alignment,,How this stream file is aligned in the container; Where this stream file is aligned in the container
AlternateGroup,Yes,Number of a group in order to provide versions of the same track
Archival_Location,,"Location where an item is archived (e.g. Louvre, Paris, France)"
Arranger,,The person who arranged the piece (e.g. Ravel)
ArtDirector,,Name of the person who oversees the artists and craftspeople who build the sets
AssistantDirector,,Name of the assistant director
AudioCount,,Number of audio streams
Audio_Codec_List,,"Deprecated, do not use in new projects"
Audio_Format_List,,"Audio Codecs in this file,separated by /"
Audio_Format_WithHint_List,,"Audio Codecs in this file with popular name (hint), separated by /"
Audio_Language_List,,Audio languages in this file separated by /
BPM,,Average number of beats per minute
BarCode,,EAN-13 (13-digit European Article Numbering) or UPC-A (12-digit Universal Product Code) bar code identifier
BitDepth, bit,"Resolution in bits (8, 16, 20, 24). Note: significant bits in case the stored bit depth is different; 16/24/32; 16/24/32 bits"
BitDepth_Detected, bit,Detected (during scan of the input by the muxer) resolution in bits
BitDepth_Stored, bit,"Stored Resolution in bits (8, 16, 20, 24)"
BitRate, bps,Bit rate in bps; Bit rate (with measurement)
BitRate_Encoded, bps,"Encoded (with forced padding) bit rate in bps, if some container padding is present; Encoded (with forced padding) bit rate (with measurement), if some container padding is present"
BitRate_Maximum, bps,Maximum Bit rate in bps; Maximum Bit rate (with measurement)
BitRate_Minimum, bps,Minimum Bit rate in bps; Minimum Bit rate (with measurement)
BitRate_Mode,,"Bit rate mode (VBR, CBR); Bit rate mode (Constant, Variable); Bit rate mode (Variable, Cconstant)"
BitRate_Nominal, bps,Nominal Bit rate in bps; Nominal Bit rate (with measurement)
Bits-(Pixel*Frame),,bits/(Pixel*Frame) (like Gordian Knot)
BufferSize,,Defines the size of the buffer needed to decode the sequence.
CC,,"Deprecated, do not use in new projects; Deprecated"
CatalogNumber,,A label-specific catalogue number used to identify the release. e.g. TIC 01
Channel(s), channel,Number of channels; Number of channels (with measurement)
Channel(s)_Original, channel,Number of channels; Number of channels (with measurement)
ChannelLayout,,Layout of channels (in the stream)
ChannelLayoutID,,"ID of layout of channels (e.g. MXF descriptor channel assignment). Warning, sometimes this is not enough for uniquely identifying a layout (e.g. MXF descriptor channel assignment is SMPTE 377-4). For AC-3, the form is x,y with x=acmod and y=lfeon."
ChannelLayout_Original,,Layout of channels (in the stream)
ChannelPositions,,Position of channels
ChannelPositions_Original,,Position of channels
Chapter,,Name of the chapter
Chapters_Pos_Begin,,"Used by third-party developers to know about the beginning of the chapters list, to be used by Get(Stream_Menu, x, Pos), where Pos is an Integer between Chapters_Pos_Begin and Chapters_Pos_End"
Chapters_Pos_End,,Used by third-party developers to know about the end of the chapters list (this position excluded)
Choreographer,,Name of the choreographer
CoDirector,,Name of the codirector
CoProducer,,Name of a co-producer
Codec,,"Deprecated, do not use in new projects; Deprecated"
CodecID,,Codec ID (found in some containers)
CodecID_Compatible,,Compatible CodecIDs
CodecID_Description,,Manual description given by the container
CodecID_Version,,Version of the CodecID
Codec_Description,,"Deprecated, do not use in new projects"
Codec_Profile,,"Deprecated, do not use in new projects"
Codec_Settings,,"Deprecated, do not use in new projects"
Codec_Settings_Automatic,,"Deprecated, do not use in new projects"
Codec_Settings_BVOP,,"Deprecated, do not use in new projects"
Codec_Settings_CABAC,,"Deprecated, do not use in new projects"
Codec_Settings_Endianness,,"Deprecated, do not use in new projects"
Codec_Settings_Firm,,"Deprecated, do not use in new projects"
Codec_Settings_Floor,,"Deprecated, do not use in new projects"
Codec_Settings_GMC, warppoint,"Deprecated, do not use in new projects"
Codec_Settings_ITU,,"Deprecated, do not use in new projects"
Codec_Settings_Law,,"Deprecated, do not use in new projects"
Codec_Settings_Matrix,,"Deprecated, do not use in new projects"
Codec_Settings_Matrix_Data,,"Deprecated, do not use in new projects"
Codec_Settings_PacketBitStream,,"Deprecated, do not use in new projects"
Codec_Settings_QPel,,"Deprecated, do not use in new projects"
Codec_Settings_RefFrames,,"Deprecated, do not use in new projects"
Codec_Settings_Sign,,"Deprecated, do not use in new projects"
Collection,,"Name of the series, e.g. Star Wars movies, Stargate SG-1, Stargate Atlantis, Buffy, Angel"
Colorimetry,,"Deprecated, do not use in new projects"
Comic,,Name of the comic.
Comic_More,,More info about the comic
Comment,,Any comment related to the content
CommissionedBy,,Name of the person or organization that commissioned the subject of the file
Compilation,Yes,iTunes compilation
CompleteName,,Complete name (Folder+Name+Extension)
CompleteName_Last,,Complete name (Folder+Name+Extension) of the last file (in the case of a sequence of files)
Composer,,Name of the original composer
Compression_Mode,,Compression mode (Lossy or Lossless)
Compression_Ratio,,Current stream size divided by uncompressed stream size
Conductor,,"The artist(s) who performed the work. In classical music this would be the conductor, orchestra, soloists, etc."
ContentType,,"The type or genre of the content. e.g. Documentary, Feature Film, Cartoon, Music Video, Music, Sound FX, etc."
Copyright,,Copyright attribution
CostumeDesigner,,Name of the costume designer
Count,,Count of objects available in this stream
Country,,"Country, where the movie was produced"
Cover,,Is there a cover
Cover_Data,,"Cover, in binary format, encoded as BASE64"
Cover_Description,,Short description (e.g. Earth in space)
Cover_Mime,,Mime type of cover file
Cropped,,"Describes whether an image has been cropped and, if so, how it was cropped; Describes whether the original image has been cropped and, if so, how it was cropped (e.g. 16:9 to 4:3, top and bottom)"
Default,Yes,Set if that track should be used if no language found matches the user preference.
Delay, ms,Delay fixed in the stream (relative) IN MS; Delay with measurement; Delay fixed in the stream (relative) (in ms)
Delay_DropFrame,,Delay drop frame
Delay_Original, ms,Delay fixed in the raw stream (relative) IN MS; Delay with measurement
Delay_Original_DropFrame,,Delay drop frame info
Delay_Original_Settings,,Delay settings (in case of timecode for example)
Delay_Original_Source,,Delay source (Stream or empty)
