  Language_ISO639;sq
  Author_Email;bgodole@gmail.com
  Author_Name;Besmir Godole
  Author_OldNames;Përkthyesi i parë
  Language_Name;Shqip
  Config_Text_ColumnSize;40
  Config_Text_Separator; :
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;.
  Config_Text_ThousandsSeparator; 
 audio stream1; rrymë audio
 audio stream2; rrymë audio
 audio stream3; rrymë audio
 bit1; bit
 bit2; bit
 bit3; bit
 bps; bps
 Bps; Bps
 Byte1; Bajt
 Byte2; Bajt
 Byte3; Bajt
 channel1; kanal
 channel2; kanale
 channel3; kanale
 chapter1; kapitull
 chapter2; kapituj
 chapter3; kapituj
 chapters stream1; rrymë kapitulli
 chapters stream2; rrymë kapitulli
 chapters stream3; rrymë kapitulli
 day1; ditë
 day2; ditë
 day3; ditë
 dB1;dB
 dB2;dB
 dB3;dB
 file1; skedë
 file2; skeda
 file3; skeda
 frame1; kuadër
 frame2; kuadro
 frame3; kuadro
 fps1; fps
 fps2; fps
 fps3; fps
 GB; GB
 Gb; Gb
 Gbps; Gbps
 GBps; GBps
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBajt
 GibiByte2; Gibibajt
 GibiByte3; Gibibajt
 GiBps; GiBps
 GigaBit1; GigaBit
 GigaBit2; GigaBit
 GigaBit3; GigaBit
 GigaByte1; GigaBajt
 GigaByte2; GigaBajt
 GigaByte3; GigaBajt
 hour1; orë
 hour2; orë
 hour3; orë
 Hz; Hz
 image stream1; rrymë figure
 image stream2; rrymë figure
 image stream3; rrymë figure
 KB; KB
 Kb; Kb
 KBps; KBps
 Kbps; Kbps
 KHz; KHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBit
 KibiBit3; KibiBit
 KibiByte1; KibiBajt
 KibiByte2; KibiBajt
 KibiByte3; KibiBajt
 KiBps; KiBps
 KiloBit1; KiloBit
 KiloBit2; KiloBit
 KiloBit3; KiloBit
 KiloByte1; KiloBajt
 KiloByte2; KiloBajt
 KiloByte3; KiloBajt
 MB; MB
 Mb; Mb
 Mbps; Mbps
 MBps; MebiBajt
 MebiBit1; MebiBit
 MebiBit2; MebiBit
 MebiBit3; MebiBit
 MebiByte1; MebiBajt
 MebiByte2; MebiBajt
 MebiByte3; MebiBajt
 MegaBit1; MegaBit
 MegaBit2; MegaBit
 MegaBit3; MegaBit
 MegaByte1; MegaBajt
 MegaByte2; MegaBajt
 MegaByte3; MegaBajt
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiBps
 millisecond1; milisekondë
 millisecond2; milisekonda
 millisecond3; milisekonda
 minute1; minutë
 minute2; minuta
 minute3; minuta
 month1; muaj
 month2; muaj
 month3; muaj
 pixel1; piksel
 pixel2; piksela
 pixel3; piksela
 second1; sekondë
 second2; sekonda
 second3; sekonda
 text stream1; rrymë teksti
 text stream2; rrymë teksti
 text stream3; rrymë teksti
 video frames1; kuadër video
 video frames2; kuadro video
 video frames3; kuadro video
 video stream1; rrymë video
 video stream2; rrymë video
 video stream3; rrymë video
 warppoint0;Pa pikëdeformime
 warppoint1; pikëdoformim
 warppoint2; pikëdeformime
 warppoint3; pikëdeformime
 week1; javë
 week2; javë
 week3; javë
 year1; vit
 year2; vite
 year3; vite
, ;, 
: ;: 
About;Për
About_Hint;Si të kontaktohem dhe të gjendet versioni i fundit
Accompaniment;Shoqëruesi
ActiveFormatDescription;
ActiveFormatDescription_MuxingMode;
Actor;Aktori
Actor_Character;Personazhi i luajtur
Added_Date;Data e shtimit
Address;Adresa
Advanced;Avancuar
Advanced mode;Mënyrë e avancuar
Album;Albumi
Album_ReplayGain_Gain;Replay gain i albumit
Album_ReplayGain_Peak;Piku i replay gain i albumit
Alignment;Radhitja
Alignment_Aligned;Radhitur te gërshetimet
Alignment_Split;Ndarë te gërshetimet
All;Gjithçka
Archival_Location;Vendi i arkivimit
Arranger;Radhitësi
ArtDirector;RegjisorArtistik
AspectRatio;Raporti i aspektit
AssistantDirector;RegjisorAsistent
at;në
At least one file;(Duhet hapur të paktën një skedë)
Audio;Audio
Audio stream(s);Rrymat e audios
Audio_Codec_List;Kodekët e audios
Audio_No;Pa audio
Audio1;Rryma e parë audio
Audio2;Rryma e dytë audio
AudioCount;Numri i rrymave të audios
Author;Autori
BarCode;BarCode
Basic;Kryesor
Basic_Note;Shënim : për më shumë info rreth skedës, mund të zgjidhet një pamje tjetër (Fletë, Pemë...) 
BitDepth;
BitRate;Raporti i bitit
BitRate_Maximum;Raporti maksimal i bitit
BitRate_Minimum;Raporti minimal i bitit
BitRate_Mode;Mënyra e raportit të bitit
BitRate_Mode_CBR;Konstant
BitRate_Mode_VBR;Variabël
BitRate_Nominal;Raporti nominal i bitit
BitRate_Encoded;
Bits-(Pixel*Frame);Bit/(Piksel*Kuadër)
BufferSize;
Cancel;Anulo
Channel(s);Kanale
ChannelPositions;Pozicionet e kanalit
Chapter(s);Kapitull
Chapters;Kapituj
Chapters stream(s);Rryma(t) e kapitujve
Chapters_Codec_List;Kodekët e Kapitujve
Chapters_No;Pa kapituj
ChaptersCount;Numri i rrymave të kapitujve
CheckNewVersion;Verifiko versionin e ri
Choose custom;Zgjedh me porosi
Choose custom sheet;Zgjedh me porosi fletën e dëshiruar
Choose custom text;Zgjedh me porosi tekstin e dëshiruar
Choose export format;Zgjedh formatin e eksportimit të dëshiruar
Choose file(s);Zgjedh skedat që të hapen
Choose filename;Zgjedh emrin e skedës së dëshiruar
Choose language;Zgjedh gjuhën e dëshiruar
Choregrapher;Koreografi
Chroma;Kroma
