  Language_ISO639;bg
  Author_Email;ownfilmcollection@gmail.com
  Author_Name;ERa
  Author_OldNames;превод на Български
  Language_Name;Български
  Config_Text_ColumnSize;40
  Config_Text_Separator;:
  Config_Text_NumberTag;#
  Config_Text_FloatSeparator;.
  Config_Text_ThousandsSeparator;
 audio stream1;аудио поток
 audio stream2;аудио поток
 audio stream3;аудио поток
 bit1;бит1
 bit2;бит2
 bit3;бит3
 bps;бпс
 Bps;Бпс
 Byte1;Байт1
 Byte2;Байт2
 Byte3;Байт3
 channel1;канал1
 channel2;канал2
 channel3;канал3
 chapter1;дял1
 chapter2;дял2
 chapter3;дял3
 chapters stream1;дял поток1
 chapters stream2;дял поток2
 chapters stream3;дял поток3
 character1;
 character2;
 character3;
 day1;ден1
 day2;ден2
 day3;ден3
 dB1;дБ1
 dB2;дБ2
 dB3;дБ3
 file1;файл1
 file2;файл2
 file3;файл3
 fps1;Кадър/Секунда1
 fps2;Кадър/Секунда2
 fps3;Кадър/Секунда3
 frame1;кадър1
 frame2;кадър2
 frame3;кадър3
 GB;ГБ
 Gb;Гб
 Gbps;Гб/сек
 GBps;ГБ/сек
 GHz;ГХц
 GiB;ГиБ
 GibiByte1;ГибиБайт1
 GibiByte2;ГибиБайт2
 GibiByte3;ГибиБайт3
 GiBps;ГиБайт/сек
 GigaBit1;ГигаБит1
 GigaBit2;ГигаБит2
 GigaBit3;ГигаБит3
 GigaByte1;ГигаБайт1
 GigaByte2;ГигаБайт2
 GigaByte3;ГигаБайт3
 hour1;час1
 hour2;час2
 hour3;час3
 Hz;Херц
 image stream1;картинен поток1
 image stream2;картинен поток2
 image stream3;картинен поток3
 KB;КБ
 Kb;Кб
 KBps;КБ/сек
 Kbps;Кб/сек
 KHz;КХц
 KiB;КиБ
 KibiBit1;КибиБит1
 KibiBit2;КибиБит2
 KibiBit3;КибиБит3
 KibiByte1;КибиБайт1
 KibiByte2;КибиБайт2
 KibiByte3;КибиБайт3
 KiBps;КиБайтСек
