  Language_ISO639;da
  Author_Email;l10n@joergenr.dk
  Author_Name;Joergen
  Author_OldNames;Joergen
  Language_Name;Dansk
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator;.
 audio stream1; lydstrÃ¸m
 audio stream2; lydstrÃ¸mme
 audio stream3; lydstrÃ¸mme
 bit1; bit
 bit2; bits
 bit3; bits
 bps; bps
 Bps; Bps
 Byte1; Byte
 Byte2; Bytes
 Byte3; Bytes
 channel1; kanal
 channel2; kanaler
 channel3; kanaler
 chapter1; kapitel
 chapter2; kapitler
 chapter3; kapitler
 chapters stream1; kapitelstrÃ¸m
 chapters stream2; kapitelstrÃ¸mme
 chapters stream3; kapitelstrÃ¸mme
 character1;
 character2;
 character3;
 day1; dag
 day2; dage
 day3; dage
 dB1; dB
 dB2; dB
 dB3; dB
 file1; fil
 file2; filer
 file3; filer
 fps1; fps
 fps2; fps
 fps3; fps
 frame1; billede
 frame2; billeder
 frame3; billeder
 GB; GB
 Gb; Gb
 Gbps; Gbps
 GBps; GBps
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBytes
 GibiByte2; GibiBytes
 GibiByte3; GibiBytes
 GiBps; GiBps
 GigaBit1; GigaBit
 GigaBit2; GigaBits
 GigaBit3; GigaBits
 GigaByte1; GigaByte
 GigaByte2; GigaBytes
 GigaByte3; GigaBytes
 hour1; time
 hour2; timer
 hour3; timer
 Hz; HZ
 image stream1; billedstrÃ¸m
 image stream2; billedstrÃ¸mme
 image stream3; billedstrÃ¸mme
 KB; KB
 Kb; Kb
 KBps; KBps
 Kbps; Kbps
 KHz; KHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBits
 KibiBit3; KibiBits
 KibiByte1; KibiByte
 KibiByte2; KibiBytes
 KibiByte3; KibiBytes
 KiBps; KiBps
 KiloBit1; KiloBit
 KiloBit2; KiloBits
 KiloBit3; KiloBits
 KiloByte1; KiloByte
 KiloByte2; KiloBytes
 KiloByte3; KiloBytes
 MB; MB
 Mb; Mb
 Mbps; Mbps
 MBps; MebiBytes
 MebiBit1; MebiBit
 MebiBit2; MebiBits
 MebiBit3; MebiBits
 MebiByte1; MebiByte
 MebiByte2; MebiBytes
 MebiByte3; MebiBytes
 MegaBit1; MegaBit
 MegaBit2; MegaBits
 MegaBit3; MegaBits
 MegaByte1; MegaByte
 MegaByte2; MegaBytes
 MegaByte3; MegaBytes
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiBps
 millisecond1; millisekund
 millisecond2; millisekunder
 millisecond3; millisekunder
 minute1; minut
 minute2; minutter
 minute3; minutter
 month1; mÃ¥ned
 month2; mÃ¥neder
 month3; mÃ¥neder
 pixel1; billedpunkt
 pixel2; billedpunkter
 pixel3; billedpunkter
 second1; sekund
 second2; sekunder
 second3; sekunder
 text stream1; tekststrÃ¸m
 text stream2; tekststrÃ¸mme
 text stream3; tekststrÃ¸mme
 video frames1; videobillede
 video frames2; videobilleder
 video frames3; videobilleder
 video stream1; videostrÃ¸mme
 video stream2; videostrÃ¸mme
 video stream3; videostrÃ¸mme
 warppoint0;Ingen warppoints
 warppoint1; warppoint
 warppoint2; warppoints
 warppoint3; warppionts
 week1; uge
 week2; uger
 week3; uger
 year1; Ã¥r
 year2; Ã¥r
 year3; Ã¥r
, ;, 
: ;: 
3D;
3DType;
About;Om
About_Hint;Hvordan du kontakter mig og finder seneste version
Accompaniment;Akkompagnement
ActiveFormatDescription;
ActiveFormatDescription_MuxingMode;
Actor;Skuespiller
Actor_Character;Rolle
Added_Date;TilfÃ¸jet den
Address;Adresse
Advanced;Avanceret
Advanced mode;Avanceret tilstand
Album;Album
Album_ReplayGain_Gain;Album replay gain
Album_ReplayGain_Peak;Album replay gain peak
Alignment;Justering
Alignment_Aligned;Justeret pÃ¥ interleaves
Alignment_Split;Delt pÃ¥ interleaves
All;Alle
Archival_Location;Arkivsted
Arranger;ArrangÃ¸r
ArtDirector;Art Director
AspectRatio;StÃ¸rrelsesforhold
AssistantDirector;Assisterende regissÃ¸r
at;ved
At least one file;(Du skal Ã¥bne mindst en fil)
Audio;Lyd
Audio stream(s);LydstrÃ¸mme
Audio_Codec_List;Lyd-codecs
Audio_No;Ingen lyd
Audio1;FÃ¸rste lydstrÃ¸m
Audio2;Anden lydstrÃ¸m
AudioComments;
AudioCount;Antal lydstrÃ¸mme
AudioDescriptionPresent;
AudioDescriptionType;
AudioLoudnessStandard;
AudioTrackLayout;
Author;Forfatter
BarCode;Stregkode
Basic;GrundlÃ¦ggende
Basic_Note;BemÃ¦rk : for mere information om denne fil, skal du vÃ¦lge en anden visning (Ark, TrÃ¦struktur..)
BitDepth;Bitdybde
BitDepth_Stored;
BitRate;Bitrate
BitRate_Encoded;
BitRate_Maximum;Maksimum bitrate
BitRate_Minimum;Minimum bitrate
