  Language_ISO639;de
  Author_Email;harff182@arcor.de
  Author_Name;scholly
  Author_OldNames;petruscaleus@gmx.de
  Language_Name;Deutsch
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator; 
 audio stream1; Audio-Stream
 audio stream2; Audio-Streams
 audio stream3; Audio-Streams
 bit1; bit
 bit2; bits
 bit3; bits
 bps; bps
 Bps; Bps
 Byte1; Byte
 Byte2; Bytes
 Byte3; Bytes
 channel1; Kanal
 channel2; KanÃ¤le
 channel3; KanÃ¤le
 chapter1; Kapitel
 chapter2; Kapitel
 chapter3; Kapitel
 chapters stream1; Kapitel-Stream
 chapters stream2; Kapitel-Streams
 chapters stream3; Kapitel-Streams
 character1;
 character2;
 character3;
 day1; Tag
 day2; Tage
 day3; Tage
 dB1; dB
 dB2; dB
 dB3; dB
 file1; Datei
 file2; Dateien
 file3; Dateien
 fps1; FPS
 fps2; FPS
 fps3; FPS
 frame1; frame
 frame2; frames
 frame3; frames
 GB; GB
 Gb; Gb
 Gbps; Gbps
 GBps; GBps
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBytes
 GibiByte2; GibiBytes
 GibiByte3; GibiBytes
 GiBps; GiBps
 GigaBit1; GigaBit
 GigaBit2; GigaBits
 GigaBit3; GigaBits
 GigaByte1; Gigabyte
 GigaByte2; GigaBytes
 GigaByte3; GigaBytes
 hour1; Stunde
 hour2; Stunden
 hour3; Stunden
 Hz; Hz
 image stream1; Bild-Stream
 image stream2; Bild-Streams
 image stream3; Bild-Streams
 KB; KB
 Kb; Kb
 KBps; KBps
 Kbps; Kbps
 KHz; KHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBits
 KibiBit3; KibiBits
 KibiByte1; KibiByte
 KibiByte2; KibiBytes
 KibiByte3; KibiBytes
 KiBps; KiBps
 KiloBit1; KiloBit
 KiloBit2; KiloBits
 KiloBit3; KiloBits
 KiloByte1; KiloByte
 KiloByte2; KiloBytes
 KiloByte3; KiloBytes
 MB; MB
 Mb; Mb
 Mbps; Mbps
 MBps; MebiBytes
 MebiBit1; MebiBit
 MebiBit2; MebiBits
 MebiBit3; MebiBits
 MebiByte1; MebiByte
 MebiByte2; MebiBytes
 MebiByte3; MebiBytes
 MegaBit1; MegaBit
 MegaBit2; MegaBits
 MegaBit3; MegaBits
 MegaByte1; MegaByte
 MegaByte2; MegaBytes
 MegaByte3; MegaBytes
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiBps
 millisecond1; Millisekunde
 millisecond2; Millisekunden
 millisecond3; Millisekunden
 minute1; Minute
 minute2; Minuten
 minute3; Minuten
 month1; Monat
 month2; Monate
 month3; Monate
 pixel1; Pixel
 pixel2; Pixel
 pixel3; Pixel
 second1; Sekunde
 second2; Sekunden
 second3; Sekunden
 text stream1; Text-Stream
 text stream2; Text-Streams
 text stream3; Text-Streams
 video frames1; Video-Frame
 video frames2; Video-Frames
 video frames3; Video-Frames
 video stream1; Video-Stream
 video stream2; Video-Streams
 video stream3; Video-Streams
 warppoint0; Keine warppoints
 warppoint1; warppoint
 warppoint2; warppoints
 warppoint3; warppoints
 week1; Woche
 week2; Wochen
 week3; Wochen
 year1; Jahr
 year2; Jahre
 year3; Jahre
, ;,
: ;:
3D;
3DType;
About;Ãœber
About_Hint;Kontakt und Infos zur neuesten Version
Accompaniment;Begleitung
ActiveFormatDescription;
ActiveFormatDescription_MuxingMode;
Actor;Schauspieler
Actor_Character;Rolle
Added_Date;HinzufÃ¼gungs-Datum
Address;Adresse
Advanced;Erweitert
Advanced mode;Erweiterter Modus
Album;Album
Album_ReplayGain_Gain;Album replay gain
Album_ReplayGain_Peak;Album replay gain peak
Alignment;Ausrichtung
Alignment_Aligned;Ausgerichtet an Interleaves
Alignment_Split;Aufteilung Ã¼ber Interleaves
All;Alle
Archival_Location;Aufbewahrungsort
Arranger;Arrangeur
ArtDirector;ArtDirector
AspectRatio;BildseitenverhÃ¤ltnis
AssistantDirector;Regie-Assistent
at;bei
At least one file;(Mindestens eine Datei muss geÃ¶ffnet werden)
Audio;Audio
Audio stream(s);Audio-Stream(s)
Audio_Codec_List;Audio-Codecs
Audio_No;Kein Ton
Audio1;Erster Audio-Stream
Audio2;Zweiter Audio-Stream
AudioComments;
AudioCount;Anzahl der Audio-Streams
AudioDescriptionPresent;
AudioDescriptionType;
AudioLoudnessStandard;
AudioTrackLayout;
Author;Autor
BarCode;Barcode
Basic;Einfach
Basic_Note;Hinweis: FÃ¼r mehr Informationen Ã¼ber diese Datei eine andere Ansicht wÃ¤hlen (Baumstruktur, Tabelle...)
BitDepth;
BitDepth_Stored;
BitRate;Bitrate
BitRate_Encoded;
BitRate_Maximum;maximale Bitrate
BitRate_Minimum;minimale Bitrate
BitRate_Mode;Bitraten-Modus
BitRate_Mode_CBR;konstant
BitRate_Mode_VBR;variabel
BitRate_Nominal;nominale Bitrate
Bits-(Pixel*Frame);Bits/(Pixel*Frame)
BufferSize;
Cancel;Abbrechen
Channel(s);KanÃ¤le
ChannelPositions;Kanal-Positionen
Chapter(s);Kapitel
Chapters;Kapitel
Chapters stream(s);Kapitel-Stream(s)
Chapters_Codec_List;Kapitel-Codecs
Chapters_No;Keine Kapitel
ChaptersCount;Anzahl der Kapitel-Streams
CheckNewVersion;Auf neue Version Ã¼berprÃ¼fen
Choose custom;Benutzerdefinierte auswÃ¤hlen
Choose custom sheet;GewÃ¼nschte benutzerdefinierte Tabelle auswÃ¤hlen
Choose custom text;GewÃ¼nschtes benutzerdefiniertes Textformat auswÃ¤hlen
Choose export format;GewÃ¼nschtes Exportformat auswÃ¤hlen
Choose file(s);Datei(en) zum Ã–ffnen auswÃ¤hlen
Choose filename;GewÃ¼nschten Dateinamen auswÃ¤hlen
Choose language;GewÃ¼nschte Sprache auswÃ¤hlen
Choregrapher;Choreograph
Chroma;Chroma
ChromaSubsampling;
Close;SchlieÃŸen
Close all before open;Vor dem Ã–ffnen alle anderen schlieÃŸen
ClosedCaptionsLanguage;
ClosedCaptionsPresent;
ClosedCaptionsType;
Codec;Codec
Codec_Description;Codec-Beschreibung
Codec_Info;Codec-Details
Codec_Profile;Codec-Profile
Codec_Settings;Codec-Einstellungen
Codec_Settings_BVOP;Codec-Einstellungen fÃ¼r BVOP
Codec_Settings_CABAC;Codec-Einstellungen fÃ¼r CABAC
Codec_Settings_Endianness;Codec-Einstellungen fÃ¼r Endianess
Codec_Settings_Firm;Codec-Einstellungen fÃ¼r Firm
Codec_Settings_Floor;Codec-Einstellungen fÃ¼r Floor
Codec_Settings_GMC;Codec-Einstellungen fÃ¼r GMC
Codec_Settings_ITU;Codec-Einstellungen fÃ¼r ITU
Codec_Settings_Law;Codec-Einstellungen fÃ¼r Law
Codec_Settings_Matrix;Codec-Einstellungen der Matrix
Codec_Settings_PacketBitStream;Codec-Einstellungen fÃ¼r Packet bitstream
Codec_Settings_QPel;Codec-Einstellungen fÃ¼r Qpel
Codec_Settings_Sign;Codec-Einstellungen fÃ¼r Sign
Codec_Url;Web-Link zum Codec
CodecID;Codec-ID
CodecID_Description;Beschreibung zum Codec
Collection;Sammlung
Colorimetry;Colorimetrie
ColorSpace;
colour_primaries;
Comment;Kommentar
CommissionedBy;In Auftrag gegeben von
Compilation;
CompleteName;VollstÃ¤ndiger Name
CompletionDate;
Composer;Komponist
Compression_Mode;
Compression_Mode_Lossless;
Compression_Mode_Lossy;
Compression_Ratio;Kompressions-VerhÃ¤ltnis
Conductor;Leiter
ContactEmail;
ContactTelephoneNumber;
Container and general information;Containerformat und allgemeine Informationen
ContentType;Typ des Inhalts
CoProducer;Coproduzent
Copyright;Copyright
CopyrightYear;
CostumeDesigner;KostÃ¼m-Designer
Count;Anzahl
Country;Land
Cover;Cover
Cover_Datas;Cover-Daten
Cover_Description;Cover-Beschreibung
Cover_Mime;Cover-MIME
Cover_Type;Cover-Typ
Cropped;Schnitt-Dimensionen
Custom;Benutzerdefiniert
Customize;Anpassen
Date;Datum
Debug;Debug
Decimal point;Dezimalpunkt
Delay;VerzÃ¶gerung
Delay_Source;
Delay_Source_Container;
Delay_Source_Stream;
Delete;LÃ¶schen
Description;Beschreibung
Digitized_Date;Digitalisierungs-Datum
Dimensions;Dimensionen
Director;Regisseur
DirectorOfPhotography;Chefkameramann
DisplayAspectRatio;BildseitenverhÃ¤ltnis
DisplayAspectRatio_Original;UrsprÃ¼ngliches BildseitenverhÃ¤ltnis
DistributedBy;Vertrieb durch
Distributor;
Donate;MediaInfo unterstÃ¼tzen
DotsPerInch;DPI
Duration;Dauer
Duration_End;Endzeit
Duration_Start;Anfangszeit
Edit;Bearbeiten
EditedBy;Bearbeitet von
EMail;Email
Encoded_Application;Kodierendes Programm
Encoded_Date;Kodierungs-Datum
Encoded_Library;verwendete Encoder-Bibliothek
Encoded_Library_Settings;Kodierungseinstellungen
Encoded_Original;Original
EncodedBy;Kodiert von
EPG_Positions;EPG Positionen (inter)
EpisodeTitleNumber;
Error_File;Fehler beim Lesen der Datei
ExecutiveProducer;AusfÃ¼hrender Produzent
Exit;Beenden
Exit_Hint;Beendet das Programm
Export;Exportieren
Export_Hint;Exportiert in ein benutzerdefinierten Format
Extensions;gebrÃ¤uchliche File-Extension
Family;Familie
Fax;Fax
File;Datei
File size;DateigrÃ¶ÃŸe
File_Append;An eine existierende Datei anhÃ¤ngen (Warnung! Auf gleiche Parameter achten!)
File_Created_Date;Datum der Datei-Erstellung
File_Created_Date_Local;Fileerstellungsdatum (lokal)
File_Hint;WÃ¤hle eine Multimedia-Datei zum Betrachten aus
File_Modified_Date;Datum der letzten Datei-VerÃ¤nderung
File_Modified_Date_Local;Fileveranderungsdatum (lokal)
FileExtension;Dateierweiterung
