  Language_ISO639;id
  Author_Email;zarambie_game@yahoo.com
  Author_Name;William Surya Permana
  Author_OldNames;Penerjemah awal
  Language_Name;Bahasa Indonesia
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator; 
 audio stream1; aliran audio
 audio stream2; aliran audio
 audio stream3; aliran audio
 bit1; bit
 bit2; bit
 bit3; bit
 Bps; B/d
 bps; b/d
 Byte1; Bita
 Byte2; Bita
 Byte3; Bita
 channel1; kanal
 channel2; kanal
 channel3; kanal
 chapter1; bab
 chapter2; bab
 chapter3; bab
 chapters stream1; aliran bab
 chapters stream2; aliran bab
 chapters stream3; aliran bab
 character1; karakter
 character2; karakter
 character3; karakter
 day1; hari
 day2; hari
 day3; hari
 dB0;0 dB
 dB1; dB
 dB2; dB
 dB3; dB
 file1; berkas
 file2; berkas
 file3; berkas
 fps1; FPS
 fps2; FPS
 fps3; FPS
 frame1; bingkai
 frame2; bingkai
 frame3; bingkai
 GB; GB
 Gb; Gb
 GBps; GB/d
 Gbps; Gb/d
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBita
 GibiByte2; GibiBita
 GibiByte3; GibiBita
 GiBps; GiB/s
 GigaBit1; GigaBit
 GigaBit2; GigaBit
 GigaBit3; GigaBit
 GigaByte1; GigaBita
 GigaByte2; GigaBita
 GigaByte3; GigaBita
 hour1; jam
 hour2; jam
 hour3; jam
 Hz; Hz
 image stream1; aliran citra
 image stream2; aliran citra
 image stream3; aliran citra
 KB; kB
 Kb; kb
 KBps; kB/d
 Kbps; kb/d
 KHz; kHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBit
 KibiBit3; KibiBit
 KibiByte1; KibiBita
 KibiByte2; KibiBita
 KibiByte3; KibiBita
 KiBps; KiB/d
 KiloBit1; KiloBit
 KiloBit2; KiloBit
 KiloBit3; KiloBit
 KiloByte1; KiloBita
 KiloByte2; KiloBita
 KiloByte3; KiloBita
 MB; MB
 Mb; Mb
 MBps; MebiBita
 Mbps; Mb/d
 MebiBit1; MebiBit
 MebiBit2; MebiBit
 MebiBit3; MebiBit
