  Language_ISO639;pt
  Author_Email;samueldsi@bol.com.br
  Author_Name;Samuel Dias
  Author_OldNames;
  Language_Name;Portugues
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator; 
 audio stream1; faixa de Ã¡udio
 audio stream2; faixas de Ã¡udio
 audio stream3; faixas de Ã¡udio
 bit1; bit
 bit2; bits
 bit3; bits
 bps; bps
 Bps; Bps
 Byte1; Byte
 Byte2; Bytes
 Byte3; Bytes
 channel1; canal
 channel2; canais
 channel3; canais
 chapter1; capÃ­tulo
 chapter2; capÃ­tulos
 chapter3; capÃ­tulos
 chapters stream1; faixa de capÃ­tulos
 chapters stream2; faixas de capÃ­tulos
 chapters stream3; faixas de capÃ­tulos
 day1; dia
 day2; dias
 day3; dias
 dB1;
 dB2;
 dB3;
 file1; arquivo
 file2; arquivos
 file3; arquivos
 frame1;
 frame2;
 frame3;
 fps1; fps
 fps2; fps
 fps3; fps
 GB; GB
 Gb; Gb
 Gbps; Gbps
 GBps; GBps
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBytes
 GibiByte2; GibiBytes
 GibiByte3; GibiBytes
 GiBps; GiBps
 GigaBit1; GigaBit
 GigaBit2; GigaBits
 GigaBit3; GigaBits
 GigaByte1; GigaByte
 GigaByte2; GigaBytes
 GigaByte3; GigaBytes
 hour1; hora
 hour2; horas
 hour3; horas
 Hz; Hz
 image stream1; faixa de  imagem
 image stream2; faixas de imagem
 image stream3; faixas de imagem
 KB; KB
 Kb; Kb
 KBps; KBps
 Kbps; Kbps
 KHz; KHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBits
 KibiBit3; KibiBits
 KibiByte1; KibiByte
 KibiByte2; KibiBytes
 KibiByte3; KibiBytes
 KiBps; KiBps
 KiloBit1; KiloBit
 KiloBit2; KiloBits
 KiloBit3; KiloBits
 KiloByte1; KiloByte
 KiloByte2; KiloBytes
 KiloByte3; KiloBytes
 MB; MB
 Mb; Mb
 Mbps; Mbps
 MBps; MebiBytes
 MebiBit1; MebiBit
 MebiBit2; MebiBits
 MebiBit3; MebiBits
 MebiByte1; MebiByte
 MebiByte2; MebiBytes
 MebiByte3; MebiBytes
 MegaBit1; MegaBit
 MegaBit2; MegaBits
 MegaBit3; MegaBits
 MegaByte1; MegaByte
 MegaByte2; MegaBytes
 MegaByte3; MegaBytes
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiBps
 millisecond1; milisegundo
 millisecond2; milisegundos
 millisecond3; milisegundos
 minute1; minuto
 minute2; minutos
 minute3; minutos
 month1; mÃªs
 month2; meses
 month3; meses
 pixel1; pixel
 pixel2; pixels
 pixel3; pixels
 second1; segundo
 second2; segundos
 second3; segundos
 text stream1; faixa de texto
 text stream2; faixas de texto
 text stream3; faixas de texto
 video frames1;
 video frames2;
 video frames3;
 video stream1; faixa de vÃ­deo
 video stream2; faixas de vÃ­deo
 video stream3; faixas de vÃ­deo
 warppoint0;
 warppoint1;
 warppoint2;
 warppoint3;
 week1; semana
 week2; semanas
 week3; semanas
 year1; ano
 year2; anos
 year3; anos
, ;, 
: ;: 
About;Sobre
About_Hint;Como contatar-me e encontrar a Ãºltima versÃ£o
Accompaniment;Acompanhamento
ActiveFormatDescription;
ActiveFormatDescription_MuxingMode;
Actor;Ator
Actor_Character;Personagem
Added_Date;
Address;EndereÃ§o
Advanced;AvanÃ§ado
Advanced mode;Modo avanÃ§ado
Album;Ãlbum
Album_ReplayGain_Gain;
Album_ReplayGain_Peak;
Alignment;
Alignment_Aligned;
Alignment_Split;
All;Todos
Archival_Location;Local do arquivo
Arranger;Arranjador
ArtDirector;Diretor de Arte
AspectRatio;ProporÃ§Ã£o da imagem
AssistantDirector;Diretor Assistente
at;a
At least one file;(VocÃª deve abrir pelo menos um arquivo)
Audio;Ãudio
Audio stream(s);Faixa(s) de Ã¡udio
Audio_Codec_List;Codecs de Ãudio
Audio_No;Sem Ã¡udio
Audio1;Primeira faixa de Ã¡udio
Audio2;Segunda faixa de Ã¡udio
AudioCount;NÃºmero de faixas de Ã¡udio
Author;Autor
BarCode;CÃ³digo de Barra
Basic;BÃ¡sico
Basic_Note;Nota : para mais informaÃ§Ãµes do arquivo, selecione um modo de exibiÃ§Ã£o diferente (FormulÃ¡rio, Ãrvore...)
BitDepth;
BitRate;Taxa de bits
BitRate_Maximum;
BitRate_Minimum;
