  Language_ISO639;sv
  Author_Email;mike@comhem.se
  Author_Name;Yonder
  Author_OldNames;Ursprunglig Ã¶versÃ¤ttare
  Language_Name;Svenska
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator; 
 audio stream1; ljudstrÃ¶m
 audio stream2; ljudstrÃ¶mmar
 audio stream3; ljudstrÃ¶mmar
 bit1; bit
 bit2; bits
 bit3; bits
 bps; bps
 Bps; Bps
 Byte1; Byte
 Byte2; Bytes
 Byte3; Bytes
 channel1; kanal
 channel2; kanaler
 channel3; kanaler
 chapter1; kapitel
 chapter2; kapitel
 chapter3; kapitel
 chapters stream1; kapitelstrÃ¶m
 chapters stream2; kapitelstrÃ¶mmar
 chapters stream3; kapitelstrÃ¶mmar
 day1; dag
 day2; dagar
 day3; dagar
 dB1;
 dB2;
 dB3;
 file1; fil
 file2; filer
 file3; filer
 frame1;
 frame2;
 frame3;
 fps1; fps
 fps2; fps
 fps3; fps
 GB; GB
 Gb; Gb
 Gbps; Gbps
 GBps; GBps
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBytes
 GibiByte2; GibiBytes
 GibiByte3; GibiBytes
 GiBps; GiBps
 GigaBit1; GigaBit
 GigaBit2; GigaBits
 GigaBit3; GigaBits
 GigaByte1; GigaByte
 GigaByte2; GigaBytes
 GigaByte3; GigaBytes
 hour1; timme
 hour2; timmar
 hour3; timmar
 Hz; Hz
 image stream1; bildstrÃ¶m
 image stream2; bildstrÃ¶mmar
 image stream3; bildstrÃ¶mmar
 KB; KB
 Kb; Kb
 KBps; KBps
 Kbps; Kbps
 KHz; KHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBits
 KibiBit3; KibiBits
 KibiByte1; KibiByte
 KibiByte2; KibiBytes
 KibiByte3; KibiBytes
 KiBps; KiBps
 KiloBit1; KiloBit
 KiloBit2; KiloBits
 KiloBit3; KiloBits
 KiloByte1; KiloByte
 KiloByte2; KiloBytes
 KiloByte3; KiloBytes
 MB; MB
 Mb; Mb
 Mbps; Mbps
 MBps; MebiBytes
