  Language_ISO639;th
  Author_Email;à¸›à¸£à¸°à¸ªà¸´à¸—à¸˜à¸´à¹Œ à¹à¸„à¸ à¸¹à¹€à¸‚à¸µà¸¢à¸§<hs3pln@users.sourceforge.net>
  Author_Name;à¸›à¸£à¸°à¸ªà¸´à¸—à¸˜à¸´à¹Œ à¹à¸„à¸ à¸¹à¹€à¸‚à¸µà¸¢à¸§
  Author_OldNames;Initial translator
  Language_Name;à¹„à¸—à¸¢
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;.
  Config_Text_ThousandsSeparator; 
 audio stream1; à¸ªà¸•à¸£à¸µà¸¡à¹€à¸ªà¸µà¸¢à¸‡
 audio stream2; à¸ªà¸•à¸£à¸µà¸¡à¹€à¸ªà¸µà¸¢à¸‡
 audio stream3; à¸ªà¸•à¸£à¸µà¸¡à¹€à¸ªà¸µà¸¢à¸‡
 bit1; à¸šà¸´à¸•
 bit2; à¸šà¸´à¸•
 bit3; à¸šà¸´à¸•
 bps; bps
 Bps; Bps
 Byte1; à¹„à¸šà¸•à¹Œ
 Byte2; à¹„à¸šà¸•à¹Œ
 Byte3; à¹„à¸šà¸•à¹Œ
 channel1; à¸Šà¹ˆà¸­à¸‡
 channel2; à¸Šà¹ˆà¸­à¸‡
 channel3; à¸Šà¹ˆà¸­à¸‡
 chapter1; à¹€à¸Šà¸Ÿà¹€à¸•à¸­à¸£à¹Œ
 chapter2; à¹€à¸Šà¸Ÿà¹€à¸•à¸­à¸£à¹Œ
 chapter3; à¹€à¸Šà¸Ÿà¹€à¸•à¸­à¸£à¹Œ
 chapters stream1; à¹€à¸Šà¸Ÿà¹€à¸•à¸­à¸£à¹Œà¸ªà¸•à¸£à¸µà¸¡
 chapters stream2; à¹€à¸Šà¸Ÿà¹€à¸•à¸­à¸£à¹Œà¸ªà¸•à¸£à¸µà¸¡
 chapters stream3; à¹€à¸Šà¸Ÿà¹€à¸•à¸­à¸£à¹Œà¸ªà¸•à¸£à¸µà¸¡
 character1;
 character2;
 character3;
 day1; à¸§à¸±à¸™
 day2; à¸§à¸±à¸™
 day3; à¸§à¸±à¸™
