Language_ISO639;tr
  Author_Email;BouRock@live.com
  Author_Name;Burak Yavuz (BouRock)
  Author_OldNames;İlk ve tek çevirmen
  Language_Name;Türkçe
  Config_Text_ColumnSize;40
  Config_Text_Separator; :
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;.
  Config_Text_ThousandsSeparator; 
 audio stream1; seslendirme akışı
 audio stream2; seslendirme akışı
 audio stream3; seslendirme akışı
 bit1; bit
 bit2; bit
 bit3; bit
 Bps; B/s
 bps; b/s
 Byte1; Bayt
 Byte2; Bayt
 Byte3; Bayt
 channel1; kanal
 channel2; kanal
 channel3; kanal
 chapter1; bölüm
 chapter2; bölüm
 chapter3; bölüm
 chapters stream1; bölüm akışı
 chapters stream2; bölüm akışı
 chapters stream3; bölüm akışı
 character1; karakter
 character2; karakter
 character3; karakter
 day1; gün
 day2; gün
 day3; gün
 dB0;
 dB1; dB
 dB2; dB
 dB3; dB
 file1; dosya
 file2; dosya
 file3; dosya
 fps1; FPS
 fps2; FPS
 fps3; FPS
 frame1; kare
 frame2; kare
 frame3; kare
 GB; GB
 Gb; Gb
 GBps; GB/s
 Gbps; Gb/s
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBayt
 GibiByte2; GibiBayt
 GibiByte3; GibiBayt
 GiBps; GiB/s
 GigaBit1; GigaBit
 GigaBit2; GigaBit
 GigaBit3; GigaBit
 GigaByte1; GigaBayt
 GigaByte2; GigaBayt
 GigaByte3; GigaBayt
 hour1; saat
 hour2; saat
 hour3; saat
 Hz; Hz
 image stream1; resim akışı
 image stream2; resim akışı
 image stream3; resim akışı
 KB; kB
 Kb; kb
 KBps; kB/s
 Kbps; kb/s
 KHz; kHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBit
 KibiBit3; KibiBit
 KibiByte1; KibiBayt
 KibiByte2; KibiBayt
 KibiByte3; KibiBayt
 KiBps; KiB/s
 KiloBit1; KiloBit
 KiloBit2; KiloBit
 KiloBit3; KiloBit
 KiloByte1; KiloBayt
 KiloByte2; KiloBayt
 KiloByte3; KiloBayt
 MB; MB
 Mb; Mb
 MBps; MB/s
 Mbps; Mb/s
 MebiBit1; MebiBit
 MebiBit2; MebiBit
 MebiBit3; MebiBit
 MebiByte1; MebiBayt
 MebiByte2; MebiBayt
 MebiByte3; MebiBayt
 MegaBit1; MegaBit
 MegaBit2; MegaBit
 MegaBit3; MegaBit
 MegaByte1; MegaBayt
 MegaByte2; MegaBayt
 MegaByte3; MegaBayt
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiB/s
 millisecond1; milisaniye
 millisecond2; milisaniye
 millisecond3; milisaniye
 minute1; dakika
 minute2; dakika
 minute3; dakika
 month1; ay
 month2; ay
 month3; ay
 object1; nesne
 object2; nesne
 object3; nesne
 pixel1; piksel
 pixel2; piksel
 pixel3; piksel
 second1; saniye
 second2; saniye
 second3; saniye
 slice per frame1; kare başına dilim
 slice per frame2; kare başına dilim
 slice per frame3; kare başına dilim
 text stream1; yazı akışı
 text stream2; yazı akışı
 text stream3; yazı akışı
 video frames1; görüntü karesi
 video frames2; görüntü karesi
 video frames3; görüntü karesi
 video stream1; görüntü akışı
 video stream2; görüntü akışı
 video stream3; görüntü akışı
 warppoint0;Sapma noktası yok
 warppoint1; sapma noktası
 warppoint2; sapma noktası
 warppoint3; sapma noktası
 week1; hafta
 week2; hafta
 week3; hafta
 year1; yıl
 year2; yıl
 year3; yıl
, ;, 
: ;: 
3D;3B
3DType;3B Türü
5.1.2ch;5.1.2 kanal
5.1.4ch;5.1.4 kanal
5.1ch;5.1 kanal
608_Mode;608 Kipi
7.1.2ch;7.1.2 kanal
7.1ch;7.1 kanal
About;Hakkında
About_Hint;Bana nasıl ulaşacak ve son sürümü nasıl bulacaksınız
AC3_Metadata;AC3 Üst Verisi
Accompaniment;Eşlik eden
acmod;AC modu
Active_DisplayAspectRatio;Etkin Görüntü En-Boy Oranı
Active_Height;Etkin Yükseklik
Active_Width;Etkin Genişlik
ActiveFormatDescription;Etkin Biçim Açıklaması
ActiveFormatDescription_MuxingMode;Etkin Biçim Açıklaması, Çoklama kipi
Actor;Oyuncu
Actor_Character;Oynayan karakter
Add creation date to text output;Metin çıktısına oluşturma tarihini ekle
Add version to text output;Metin çıktısına sürümü ekle
Added_Date;Eklenme tarihi
Address;Adres
AdID;Ad-ID tanımlayıcı
ADM: Show ChannelFormats;ADM: Kanal Biçimlerini Göster
ADM: Show TrackUIDs;ADM: İz UID'lerini Göster
AdmProfile;ADM Profili
Advanced mode -->;Gelişmiş kip -->
Advanced mode;Gelişmiş kip
Advanced;Gelişmiş
Album;Albüm
Album_ReplayGain_Gain;Albüm tekrar çalma kazancı
Album_ReplayGain_Peak;Albüm tekrar çalma kazanç ucu
Alignment;Hizalama
Alignment_Aligned;Boşluklarda sıraya dizilmiş
Alignment_Split;Boşlukları karşılıklı böl
All;Tümü
AllFields;Tüm Alanlar
AlternateGroup;Dönüşümlü grup
AnalyzeServicesMenu;Hizmet Menülerini Analiz Et
App_About;MediaInfo hakkında
App_Hide;MediaInfo’i Gizle
App_Quit;MediaInfo’dan Çık
Archival_Location;Arşiv konumu
Arranger;Düzenleyici
ArtDirector;Sanat Yönetmeni
AspectRatio;En-Boy oranı
AssistantDirector;Yardımcı Yönetmen
AssociatedVideo_FrameRate;İlişkili Video Kare Hızı
At least one file;(En az bir dosya açmak zorundasınız)
at;de
Attachments;Ekler
Audio stream(s);Seslendirme akışı
Audio;Ses
Audio_Channels_Total;Toplam Ses Kanalı
Audio_Codec_List;Ses kodekleri
Audio_Format_List;Ses Biçimleri Listesi
Audio_Format_WithHint_List;İpucu ile Ses Biçimleri Listesi
Audio_Language_List;Ses Dilleri Listesi
Audio_No;Ses yok
Audio1;Birinci seslendirme
Audio2;İkinci seslendirme
Audio3;Üçüncü Ses
AudioComments;Ses Açıklamaları
AudioCount;Ses sayısı
AudioDescription;Ses Betimlemesi
AudioDescriptionPresent;Ses Açıklaması Sunumu
AudioDescriptionType;Ses Açıklaması Türü
AudioLoudnessStandard;Ses Yüksekliği Standartı
AudioRenderingIndication;Ses İşleme Göstergesi
