14.4;VSELP;;Real Player 1;http://www.real.com
14_4;VSELP;;Real Player 1;http://www.real.com
28.8;G.728;;Real Player 2;http://www.real.com
28_8;G.728;;Real Player 2;http://www.real.com
atrc;Atrac;;Real Player 8;http://www.real.com
audio/X-MP3-draft-00;MPEG Audio;;;
audio/x-ralf-mpeg4;RealAudio Lossless;;Real Audio Lossless Format, Real Player 10;http://www.real.com;;;;;;Lossless
audio/x-ralf-mpeg4-generic;RealAudio Lossless;;Real Audio Lossless Format, Real Player 10;http://www.real.com;;;;;;Lossless
cook;Cooker;;Based on G.722.1, Real Player 6;http://www.real.com
dnet;AC-3;;Real Player 3;http://www.real.com
lpcJ;VSELP;;Real Player 1;http://www.real.com
raac;AAC;;Real Player 9;http://www.real.com;LC
racp;AAC;;Real Player 10;http://www.real.com;HE-AAC
rtrc;RealAudio 8;;;http://www.real.com
sipr;ACELP;;Real Player 4;http://www.real.com
whrl;RealAudio Multi-Channel;;Real Audio Multi-Channel;http://www.real.com
