2vuy;YUV;;;;;;YUV;4:2:2
2Vuy;YUV;;;;;;YUV;4:2:2
8BPS;RGB;;;;;;RGB;8:8:8
ac16;YUV;;;;;;YUV;4:2:2
ac32;YUV;;;;;;YUV;4:2:2
acBG;YUV;;;;;;YUV;4:2:2
apch;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;High;;YUV;4:2:2
apcn;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
apcs;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;LT;;YUV;4:2:2
apco;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;Proxy;;YUV;4:2:2
ap4c;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;;;;4:4:4
ap4h;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;;;;4:4:4
ai12;AVC;;Advanced Video Coding;http://ffdshow-tryout.sourceforge.net;;;
ai15;AVC;;Advanced Video Coding;http://ffdshow-tryout.sourceforge.net;;;
ai1q;AVC;;Advanced Video Coding;http://ffdshow-tryout.sourceforge.net;;;
ai5q;AVC;;Advanced Video Coding;http://ffdshow-tryout.sourceforge.net;;;
AV1x;YUV;;;;;;YUV;4:2:2
avc1;AVC;;Advanced Video Coding;http://www.apple.com/quicktime/download/standalone.html;;;;
avcp;AVC;;Advanced Video Coding Parameters;http://www.apple.com/quicktime/download/standalone.html;;;;
AVDJ;JPEG;;Avid
AVdv;DV;;Avid;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
AVdn;VC-3;DNxHD;Avid;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
AVmp;MPEG Video;Avid IMX;;;;Version 2;;;
avr ;JPEG;;;;;;;
b16g;Gray;;;;;;Y;16
b32a;Gray/Alpha;;;;;;YA;16:16
b48r;RGB;;;;;;RGB;16:16:16
b64a;RGBA;;;;;;RGBA;16:16:16:16
base;RGBA;;;;;;RGBA;16:16:16:16
blit;RGBA;;;;;;RGBA;16:16:16:16
blnd;Alpha Compositor;;;;;;;
blur;Blur;;;;;;CMYK;
CFHD;CineForm;;CineForm High-Definition (HD) wavelet codec;http://www.cineform.com/;;;;
cmyk;CMYK;;;;;;;
cvid;Cinepack;;;http://www.apple.com/quicktime/download/standalone.html;;;;
drac;Dirac;;Dirac Video Coder;http://www.bbc.co.uk/rd/projects/dirac/index.shtml;;;;
dslv;Cross Fade;;;http://www.apple.com/quicktime/download/standalone.html;;;;
DV10;Digital Voodoo;;Digital Voodoo 10 bit Uncompressed 4:2:2 codec;http://www.digitalvoodoo.net/;;;;
dv5n;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dv5p;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvc ;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvcp;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvh1;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvh2;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvh3;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvh4;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvh5;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvh6;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvhp;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvhq;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
DVOO;Digital Voodoo;;Digital Voodoo 8 bit Uncompressed 4:2:2 codec;http://www.digitalvoodoo.net/;;;;
DVOR;Digital Voodoo;;Digital Voodoo intermediate raw;http://www.digitalvoodoo.net/;;;;
dvpp;DV;DVCPRO;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
DVTV;Digital Voodoo;;Digital Voodoo intermediate 2vuy;http://www.digitalvoodoo.net/;;;;
DVVT;Digital Voodoo;;Digital Voodoo intermediate v210;http://www.digitalvoodoo.net/;;;;
encv;(Encrypted);;;http://www.apple.com/quicktime/download/standalone.html;;;;
gif ;M-GIF;;;;;;;
Hap1;Hap;;Hap Video Codec;https://github.com/Vidvox/hap;;;;
Hap5;Hap Alpha;;Hap Video Codec;https://github.com/Vidvox/hap;;;;
HapY;Hap Q;;Hap Video Codec;https://github.com/Vidvox/hap;;;;
h261;H.261;;;http://www.apple.com/quicktime/download/standalone.html;;;;
h263;H.263;;;http://www.apple.com/quicktime/download/standalone.html;;;;
H263;H.263;;;http://www.apple.com/quicktime/download/standalone.html;;;;
h264;H.264;;;http://www.apple.com/quicktime/download/standalone.html;;;;
hcpa;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;High;;YUV;4:2:2
HD10;Digital Voodoo;;Digital Voodoo 10 bit Uncompressed 4:2:2 HD codec;http://www.digitalvoodoo.net/;;;;
