aa;aar
ab;abk
ae;ave
af;afr
ak;aka
am;amh
an;arg
ar;ara
as;asm
av;ava
ay;aym
az;aze
ba;bak
be;bel
bg;bul
bh;bih
bi;bis
bm;bam
bn;ben
bo;tib
bo;tib
br;bre
bs;bos
ca;cat
ce;che
ch;cha
co;cos
cr;cre
cs;ces
cs;cze
cu;chu
cv;chv
cy;cym
cy;wel
da;dan
de;deu
de;ger
dv;div
dz;dzo
ee;ewe
el;gre
el;ell
en;eng
eo;epo
es;spa
et;est
eu;baq
eu;eus
fa;fas
fa;per
ff;ful
fi;fin
fj;fij
fo;fao
fr;fra
fr;fre
fy;fry
ga;gle
gd;gla
gl;glg
gn;grn
gu;guj
gv;glv
ha;hau
he;heb
hi;hin
ho;hmo
hr;hrv
hr;hrv
ht;hat
hu;hun
hy;hye
hy;arm
hz;her
ia;ina
id;ind
ie;ile
ig;ibo
ii;iii
ik;ipk
io;ido
is;ice
is;isl
it;ita
iu;iku
ja;jpn
jv;jav
ka;geo
ka;kat
kg;kon
ki;kik
kj;kua
kk;kaz
kl;kal
km;khm
kn;kan
ko;kor
kr;kau
ks;kas
ku;kur
kv;kom
kw;cor
ky;kir
la;lat
lb;ltz
lg;lug
li;lim
ln;lin
lo;lao
lt;lit
lu;lub
lv;lav
mg;mlg
mh;mah
mi;mao
mi;mri
mk;mac
mk;mkd
ml;mal
mn;mon
mo;mol
mr;mar
ms;may
ms;msa
mt;mlt
my;bur
my;mya
na;nau
nb;nob
nd;nde
nd;nde
ne;nep
ng;ndo
nl;dut
nl;nld
nn;nno
no;nor
nr;nbl
nr;nbl
nv;nav
ny;nya
oc;oci
oj;oji
om;orm
or;ori
os;oss
pa;pan
pi;pli
pl;pol
ps;pus
pt;por
qu;que
rm;roh
rn;run
ro;ron
ro;rum
ru;rus
rw;kin
sa;san
sc;srd
sd;snd
se;sme
sg;sag
si;sin
sk;slk
sk;slo
sl;slv
sm;smo
sn;sna
so;som
sq;alb
sq;sqi
sr;scc
sr;srp
ss;ssw
st;sot
su;sun
sv;swe
sw;swa
ta;tam
te;tel
tg;tgk
th;tha
ti;tir
tk;tuk
tl;tgl
tn;tsn
to;ton
tr;tur
ts;tso
tt;tat
tw;twi
ty;tah
ug;uig
uk;ukr
ur;urd
uz;uzb
ve;ven
vi;vie
vo;vol
wa;wln
wo;wol
xh;xho
yi;yid
yo;yor
za;zha
zh;chi
zh;zho
zu;zul
