Main source;http://wiki.hydrogenaudio.org/index.php?title=Recommended_Ogg_Vorbis;
Xiphophorus libVorbis I 20000508;1.0 Beta 1/2;UTC 2000-05-08
Xiphophorus libVorbis I 20001031;1.0 Beta 3;UTC 2000-10-31
Xiphophorus libVorbis I 20010225;1.0 Beta 4;UTC 2001-02-25
Xiphophorus libVorbis I 20010615;1.0 RC1;UTC 2000-16-15
Xiphophorus libVorbis I 20010813;1.0 RC2;UTC 2000-18-13
Xiphophorus libVorbis I 20010816 (gtune 1);1.0 RC2 (GTune 1);UTC 2001-08-16
Xiphophorus libVorbis I 20011014 (GTune 2);1.0 RC2 (GTune 2);UTC 2001-10-14
Xiphophorus libVorbis I 20011217;1.0 RC3;UTC 2001-12-17
Xiphophorus libVorbis I 20011231;1.0 RC3;UTC 2001-12-31
Xiph.Org libVorbis I 20020717;1.0;UTC 2002-07-17
Xiph.Org/Sjeng.Org libVorbis I 20020717 (GTune 3, beta 1);1.0 (GTune 3 Beta 1);UTC 2002-07-17
Xiph.Org libVorbis I 20030308;1.0.1 (CVS);UTC 2003-03-08
Xiph.Org libVorbis I 20030909;1.0.1;UTC 2003-09-09
Xiph.Org/Sjeng.Org libVorbis I 20030909 (GTune 3, beta 2) EXPERIMENTAL;1.0 (GTune 3 Beta 2);UTC 2003-09-09
Xiph.Org libVorbis I 20031230 (1.0.1);1.0.1 (CVS);UTC 2003-12-30
Xiph.Org/Sjeng.Org libVorbis I 20031230 (GTune 3, beta 2);1.0.1 (GTune 3 Beta 2);UTC 2003-12-30
AO aoTuV b2 [20040420] (based on Xiph.Org's 1.0.1);Beta 2;UTC 2004-04-20
Xiph.Org libVorbis I 20040629;1.1;UTC 2004-06-29
Xiph.Org libVorbis I 20040920;1.1 (with impulse_trigger_profile);UTC 2004-09-20
AO aoTuV b3 [20041120] (based on Xiph.Org's libVorbis);Beta 3;UTC 2004-11-20
Xiph.Org libVorbis I 20050304;1.1.1/1.1.2;UTC 2005-03-04
AO aoTuV b4 [20050617] (based on Xiph.Org's libVorbis);Beta 4;UTC 2005-06-17
BS Lancer [20050709] (based on aoTuV b4 [20050617]);(aoTuV Beta 4);UTC 2005-07-09
AO aoTuV b4a [20051105] (based on Xiph.Org's libVorbis);Beta 4.5;UTC 2005-11-05
AO aoTuV b4b [20051117] (based on Xiph.Org's libVorbis);Beta 4.51;UTC 2005-11-17
BS Lancer [20051121] (based on aoTuV b4b [20051117]);(aoTuV Beta 4.51);UTC 2005-11-21
AO aoTuV pre-beta5 [20060321] (based on Xiph.Org's libVorbis);Beta 5 (preBeta);UTC 2006-03-21
AO aoTuV b5 [20061024] (based on Xiph.Org's libVorbis);Beta 5;UTC 2006-10-24
Xiph.Org libVorbis I 20070622;1.2;UTC 2007-06-22
