Count;;;N NI;;;Count of objects available in this stream
Status;;;N NI;;;bit field (0=IsAccepted, 1=IsFilled, 2=IsUpdated, 3=IsFinished)
StreamCount;;;N NI;;;Count of streams of that kind available
StreamKind;Audio;;N NT;;;Stream type name;;
StreamKind/String;;;N NT;;;Stream type name
StreamKindID;;;N NI;;;Number of the stream (base=0)
StreamKindPos;;;N NI;;;When multiple streams, number of the stream (base=1)
StreamOrder;;;N YI;;;Stream order in the file, whatever is the kind of stream (base=0)
FirstPacketOrder;;;N YI;;;Order of the first fully decodable packet met in the file, whatever is the kind of stream (base=0)
Inform;;;N NT;;;Last **Inform** call
ID;;;N YI;;;The ID for this stream in this file
ID/String;;;Y NT;;;The ID for this stream in this file
UniqueID;;;N YI;;;The unique ID for this stream, should be copied with stream copy
UniqueID/String;;;Y NT;;;The unique ID for this stream, should be copied with stream copy
MenuID;;;N YI;;;The menu ID for this stream in this file
MenuID/String;;;Y NT;;;The menu ID for this stream in this file
Format;;;Y YT;;;Format used;;
Format/Info;;;Y NT;;;Info about the format;;
Format/Url;;;N NT;;;Homepage of this format;;
Format_Commercial;;;N YT;;;Commercial name used by vendor for theses setings or Format field if there is no difference;;
Format_Commercial_IfAny;;;Y YT;;;Commercial name used by vendor for theses setings if there is one;;
Format_Version;;;Y YT;;;Version of this format;;
Format_Profile;;;Y YT;;;Profile of this Format;;
Format_Compression;;;Y YT;;;Compression method used;;
Format_Settings;;;N YT;;;Settings needed for decoder used, summary;;
Format_Settings_SBR;;Yes;N YT;;;;;
Format_Settings_SBR/String;;;N NT;;;;;
Format_Settings_PS;;Yes;N YT;;;;;
Format_Settings_PS/String;;;N NT;;;;;
Format_Settings_Mode;;;Y YT;;;;;
Format_Settings_ModeExtension;;;Y YT;;;;;
Format_Settings_Emphasis;;;Y YT;;;;;
Format_Settings_Floor;;;Y YT;;;;;
Format_Settings_Firm;;;Y YT;;;;;
Format_Settings_Endianness;;;Y YT;;;;;
Format_Settings_Sign;;;Y YT;;;;;
Format_Settings_Law;;;Y YT;;;;;
Format_Settings_ITU;;;Y YT;;;;;
Format_Settings_Wrapping;;;Y YT;;;Wrapping mode (Frame wrapped or Clip wrapped)
Matrix_Format;;;Y YI;;;Matrix format (e.g. DTS Neural);;
InternetMediaType;;;N YT;;;Internet Media Type (aka MIME Type, Content-Type);;
MuxingMode;;;Y YT;;;How this stream is muxed in the container;;
MuxingMode_MoreInfo;;;Y NT;;;More info (text) about the muxing mode;;
CodecID;;;Y YT;;;Codec ID (found in some containers);;
CodecID/String;;;Y NT;;;Codec ID (found in some containers);;
CodecID/Info;;;Y NT;;;Info about codec ID;;
CodecID/Hint;;;Y NT;;;Hint/popular name for this codec ID;;
CodecID/Url;;;N NT;;;Homepage for more details about this codec ID;;
CodecID_Description;;;Y YT;;;Manual description given by the container;;
Codec;;;N NT;;;Deprecated, do not use in new projects;;
Codec/String;;;N NT;;;Deprecated, do not use in new projects;;
Codec/Family;;;N NT;;;Deprecated, do not use in new projects;;
Codec/Info;;;N NT;;;Deprecated, do not use in new projects;;
Codec/Url;;;N NT;;;Deprecated, do not use in new projects;;
Codec/CC;;;N NT;;;Deprecated, do not use in new projects;;
Codec_Description;;;N NT;;;Deprecated, do not use in new projects;;
Codec_Profile;;;N NT;;;Deprecated, do not use in new projects;;
Codec_Settings;;;N NT;;;Deprecated, do not use in new projects;;
Codec_Settings_Automatic;;;N NT;;;Deprecated, do not use in new projects;;
Codec_Settings_Floor;;;N NT;;;Deprecated, do not use in new projects;;
Codec_Settings_Firm;;;N NT;;;Deprecated, do not use in new projects;;
Codec_Settings_Endianness;;;N NT;;;Deprecated, do not use in new projects;;
Codec_Settings_Sign;;;N NT;;;Deprecated, do not use in new projects;;
