Count;;;N NI;;;Count of objects available in this stream
Status;;;N NI;;;bit field (0=IsAccepted, 1=IsFilled, 2=IsUpdated, 3=IsFinished)
StreamCount;;;N NI;;;Count of streams of that kind available
StreamKind;Video;;N NT;;;Stream type name
StreamKind/String;;;N NT;;;Stream type name
StreamKindID;;;N NI;;;Number of the stream (base=0)
StreamKindPos;;;N NI;;;When multiple streams, number of the stream (base=1)
StreamOrder;;;N YI;;;Stream order in the file, whatever is the kind of stream (base=0)
FirstPacketOrder;;;N YI;;;Order of the first fully decodable packet met in the file, whatever is the kind of stream (base=0)
Inform;;;N NT;;;Last **Inform** call
ID;;;N YI;;;The ID for this stream in this file
ID/String;;;Y NT;;;The ID for this stream in this file
UniqueID;;;N YI;;;The unique ID for this stream, should be copied with stream copy
UniqueID/String;;;Y NT;;;The unique ID for this stream, should be copied with stream copy
MenuID;;;N YI;;;The menu ID for this stream in this file
MenuID/String;;;Y NT;;;The menu ID for this stream in this file
Format;;;Y YT;;;Format used
Format/Info;;;Y NT;;;Info about Format
Format/Url;;;N NT;;;Link
Format_Commercial;;;N NT;;;Commercial name used by vendor for theses setings or Format field if there is no difference
Format_Commercial_IfAny;;;Y YT;;;Commercial name used by vendor for theses setings if there is one
Format_Version;;;Y YT;;;Version of this format
Format_Profile;;;Y YT;;;Profile of the Format
Format_Compression;;;N YT;;;Compression mode of the Format
MultiView_BaseProfile;;;Y YT;;;Multiview, profile of the base stream
MultiView_Count;;;Y YT;;;Multiview, count of views
MultiView_Layout;;;Y YT;;;Multiview, how views are muxed in the container in case of it is not muxing in the stream
Format_Settings;;;N YT;;;Settings needed for decoder used, summary
Format_Settings_BVOP;;Yes;N YT;;;Settings needed for decoder used, detailled
Format_Settings_BVOP/String;;;Y NT;;;Settings needed for decoder used, detailled
Format_Settings_QPel;;Yes;N YT;;;Settings needed for decoder used, detailled
Format_Settings_QPel/String;;;Y NT;;;Settings needed for decoder used, detailled
Format_Settings_GMC;; warppoint;N YI;;;Settings needed for decoder used, detailled
Format_Settings_GMC/String;;;Y NT;;;
Format_Settings_Matrix;;;N YT;;;Settings needed for decoder used, detailled
Format_Settings_Matrix/String;;;Y NT;;;Settings needed for decoder used, detailled
Format_Settings_Matrix_Data;;;N NT;;;Matrix, in binary format encoded BASE64. Order = intra, non-intra, gray intra, gray non-intra
Format_Settings_CABAC;;Yes;N YT;;;Settings needed for decoder used, detailled
Format_Settings_CABAC/String;;;Y NT;;;Settings needed for decoder used, detailled
Format_Settings_RefFrames;; frame;N YI;;;Settings needed for decoder used, detailled
Format_Settings_RefFrames/String;;;Y NT;;;Settings needed for decoder used, detailled
Format_Settings_Pulldown;;;Y YT;;;Settings needed for decoder used, detailled
Format_Settings_FrameMode;;;Y YT;;;Settings needed for decoder used, detailled
Format_Settings_GOP;;;Y YT;;;Settings needed for decoder used, detailled (M=x N=y)
Format_Settings_FrameStructures;;;Y YT;;;Settings needed for decoder used, detailled (Type of frame, and field/frame info)
Format_Settings_Wrapping;;;Y YT;;;Wrapping mode (Frame wrapped or Clip wrapped)
