  Language_ISO639;sk
  Author_Email
  Author_Name;Addams
  Author_OldNames
  Language_Name;Slovak
  Config_Text_ColumnSize;32
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator; 
 audio stream1; audio stream
 audio stream2; audio streamy
 audio stream3; audio streamy
 bit1; bit
 bit2; bits
 bit3; bits
 bps; bps
 Bps; Bps
 Byte1; Byte
 Byte2; Bytes
 Byte3; Bytes
 channel1; kanál
 channel2; kanály
 channel3; kanály
 chapter1; kapitola
 chapter2; kapitoly
 chapter3; kapitoly
 chapters stream1; chapters stream
 chapters stream2; chapters streams
 chapters stream3; chapters streams
 day1;deň
 day2; dni
 day3; dny
 dB1;dB
 dB2;dB
 dB3;dB
 file1; súbor
 file2; súbory
 file3; súbory
 frame1;snímka
 frame2;snímky
 frame3;snímky
 fps1;snímok/sek.
 fps2;snímok/sek.
 fps3;snímok/sek.
 GB; GB
 Gb; Gb
 Gbps; Gbps
 GBps; GBps
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBytes
 GibiByte2; GibiBytes
 GibiByte3; GibiBytes
 GiBps; GiBps
 GigaBit1; GigaBit
 GigaBit2; GigaBits
 GigaBit3; GigaBits
 GigaByte1; GigaByte
 GigaByte2; GigaBytes
 GigaByte3; GigaBytes
 hour1; hodina
 hour2;hodiny
 hour3;hodiny
 Hz; Hz
 image stream1; image stream
 image stream2; image streams
 image stream3; image streams
 KB; KB
 Kb; Kb
 KBps; KBps
 Kbps; Kbps
 KHz; KHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBits
 KibiBit3; KibiBits
 KibiByte1; KibiByte
 KibiByte2; KibiBytes
 KibiByte3; KibiBytes
 KiBps; KiBps
 KiloBit1; KiloBit
 KiloBit2; KiloBits
 KiloBit3; KiloBits
 KiloByte1; KiloByte
 KiloByte2; KiloBytes
 KiloByte3; KiloBytes
 MB; MB
 Mb; Mb
 Mbps; Mbps
 MBps; MebiBytes
 MebiBit1; MebiBit
 MebiBit2; MebiBits
 MebiBit3; MebiBits
 MebiByte1; MebiByte
 MebiByte2; MebiBytes
 MebiByte3; MebiBytes
 MegaBit1; MegaBit
 MegaBit2; MegaBits
