dvhd;;4CC;PCM;;CBR;Sony Digital Video (DV), audio part;
dvsd;;4CC;PCM;;CBR;Sony Digital Video (DV), audio part;
dvsl;;4CC;PCM;;CBR;Sony Digital Video (DV), audio part;
EMWC;;4CC;;;;EverAd, Inc.;
MP2A;;4CC;MPEG Audio;2;;Media Excel MPEG-2 Audio;
MP4A;;4CC;AAC;;;Media Excel MPEG-4 Audio;http://www.apple.com/quicktime/download/standalone.html
Qclp;;4CC;;;;;
QDM1;;4CC;QDesign 1;;;QDesign Music 1;
QDM2;;4CC;Qdesign 2;;;QDesign Music 2;
SAMR;;4CC;AMR;;;;
A_MPEG/L1;MP1;Mk;MPEG Audio;Layer 1;;MPEG1 or 2 Audio layer 1;http://www.iis.fraunhofer.de/amm/index.html
A_MPEG/L2;MP2;Mk;MPEG Audio;Layer 2;;MPEG1 or 2 Audio layer 2;http://www.iis.fraunhofer.de/amm/index.html
A_MPEG/L3;MP3;Mk;MPEG Audio;Layer 3;;MPEG1 or 2 Audio Layer 3;http://www.iis.fraunhofer.de/amm/index.html
A_PCM/INT/BIG;;Mk;PCM;Big;CBR;Linear PCM (Big Endian);
A_PCM/INT/LIT;;Mk;PCM;Little;CBR;Linear PCM (Little Endian);
A_PCM/FLOAT/IEEE;;Mk;PCM;Float;CBR;Microsoft Linear PCM, Float;http://www.microsoft.com/windows/
A_AC3;;Mk;AC-3;;CBR;;
A_AC3/BSID9;;Mk;AC-3;;CBR;;
A_AC3/BSID10;;Mk;AC-3;;CBR;;
A_DTS;;Mk;DTS;;CBR;;
A_VORBIS;;Mk;Vorbis;;;;http://www.vorbis.com
A_WAVPACK4;;Mk;WavPack;;VBR;;http://www.wavepack.com
A_REAL/14_4;;Mk;VSELP;;;Real Audio 1 (14.4);http://www.real.com
A_REAL/28_8;;Mk;G.728;;;Real Audio 2 (28.8);http://www.real.com
A_REAL/COOK;;Mk;Cooker;;;Real Audio Cook Codec (codename: Gecko);http://www.real.com
A_REAL/SIPR;;Mk;G.729;;;Real & Sipro Voice Codec;http://www.real.com
A_REAL/RALF;;Mk;RealAudio Lossless;;;Real Audio Lossless Format;http://www.real.com
A_REAL/ATRC;;Mk;Atrac;3;;Real & Sony Atrac3 Codec;http://www.real.com
A_AAC;;Mk;AAC;;;;
A_AAC/MPEG2/MAIN;;Mk;AAC;Main;;AAC Main Profile;
A_AAC/MPEG2/LC;;Mk;AAC;LC;;AAC Low Complexity;
A_AAC/MPEG2/LC/SBR;;Mk;AAC;LC-SBR;;AAC Low Complexity with Spectral Band Replication;
