 BIT;RGB;;;
 JPG;M-JPEG;;;
 PNG;RGB;;;
 RAW;RGB;;;http://www.fourcc.org/indexrgb.htm
 RGB;RGB;;;http://www.fourcc.org/indexrgb.htm
 RL4;RLE;;;http://www.fourcc.org/indexrgb.htm
 RL8;RLE;;;http://www.fourcc.org/indexrgb.htm
1978;RGB;;A.M.Paredes predictor;http://www.pegasusimaging.com/cgi-bin/download2.cgi?LVIDB
2VUY;YUV;;Optibase VideoPump 8-bit 4:2:2 Component YCbCr;
3IV0;MPEG-4 Visual;3ivX;3ivX pre-1.0;http://www.3ivx.com/download/
3IV1;MPEG-4 Visual;3ivX;3ivX 1.0-3.5;http://www.3ivx.com/download/
3IV2;MPEG-4 Visual;3ivX;3ivX 4.0;http://www.3ivx.com/download/
3IVD;MPEG-4 Visual;3ivX;;http://ffdshow-tryout.sourceforge.net/
3IVX;MPEG-4 Visual;3ivX;;http://www.3ivx.com/download/
3VID;MPEG-4 Visual;3ivX;;http://www.3ivx.com/download/
8BPS;RGB;Apple;QuickTime Planar RGB with Alpha-channel;http://ffdshow-tryout.sourceforge.net/
AAS4;RLE;Autodesk;;http://mirror01.iptelecom.net.ua/~video/codecs/Autodesk.Animator.v1.11.Codec.exe
AASC;RLE;Autodesk;;http://mirror01.iptelecom.net.ua/~video/codecs/Autodesk.Animator.v1.11.Codec.exe
ABYR;Kensigton low;Kensington;Low resolution, low frame rate (6fps) for digital cameras;
ACTL;ACT-L2;Streambox;;http://www.streambox.com/products/act-L2_codec.htm
ADV1;WaveCodec;Loronix;;http://www.loronix.com/products/video_clips/wavecodec.asp
ADVJ;M-JPEG;Avid;;
AEIK;Indeo 3.2;;Vector Quantization;
AEMI;MPEG Video;VideoONE;MPEG-1-I Capture;http://www.array.com
AFLC;FLC;Autodesk;;http://mirror01.iptelecom.net.ua/~video/codecs/Autodesk.Animator.v1.11.Codec.exe
AFLI;FLI;Autodesk;;http://mirror01.iptelecom.net.ua/~video/codecs/Autodesk.Animator.v1.11.Codec.exe
AHDV;Wavelet;CineForm HD;;http://www.cineform.com/products/ConnectHD.htm
AJPG;M-JPEG;;22fps for digital cameras;
ALPH;Ziracom;;Ziracom Digital Communications Inc.;
AMPG;MPEG-1;VideoONE;;http://www.array.com
AMR ;AMR;;Speech codec;
ANIM;RDX;Intel;;
AP41;MPEG-4 Visual;AngelPotion;Hack of MS MPEG-4 v3;http://www.divxity.com/download/ap4v1-702.exe
AP42;MPEG-4 Visual;AngelPotion;Hack of MS MPEG-4 v3;http://www.divxity.com/download/ap4v1-702.exe
ASLC;AlparySoft Lossless;;;http://www.free-codecs.com/download/Alparysoft_Lossless_Video_Codec.htm
ASV1;Asus 1;;;ftp://ftp.asuscom.de/pub/asuscom/treiber/vga/ASUS_VGA_TOOLS/asv2dec.zip
ASV2;Asus 2;;;ftp://ftp.asuscom.de/pub/asuscom/treiber/vga/ASUS_VGA_TOOLS/asv2dec.zip
ASVX;Asus X;;;ftp://ftp.asuscom.de/pub/asuscom/treiber/vga/ASUS_VGA_TOOLS/asv2dec.zip
ATM4;MPEG-4 Visual;Nero;;http://www.nero.com
AUR2;YUV;;Auravision Aura 2 - YUV 422;
AURA;YUV;;Auravision Aura 1 - YUV 411;
AUVX;AUVX;;USH GmbH;
AV1X;Avid 1:1;;;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVC1;AVC;;;http://ffdshow-tryout.sourceforge.net/
AVD1;Digital Video;Avid;;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVDJ;M-JPEG;Avid;;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVDN;Avid HD;;;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVDV;Digital Video;Avid;;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVI1;M-JPEG;MainConcept;;
AVI2;M-JPEG;MainConcept;;
AVID;M-JPEG;Avid;;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVIS;AviSynth;;Wrapper for AviSynth (Dummy);http://ffdshow-tryout.sourceforge.net/
AVMP;Avid IMX;;;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVR ;M-JPEG;Avid NuVista;Avid ABVB/NuVista M-JPEG with Alpha-channel;
AVRn;M-JPEG;Avid M-JPEG;;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVRN;M-JPEG;Avid M-JPEG;;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVUI;Avid;;Avid Meridien Uncompressed with Alpha-channel;http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AVUP;Avid;;Avid 10bit Packed (Quick Time);http://mirror01.iptelecom.net.ua/~video/codecs/Avid.VfW.codec.v2.0d2.exe
AYUV;YUV;YUV;Colorimetry=4:4:4;
AZPR;QuickTime;;;http://www.apple.com/quicktime/download/standalone.html
AZRP;QuickTime;;;http://www.apple.com/quicktime/download/standalone.html
BGR ;RGB;RGB;;
BHIV;BeHere iVideo;;;
BINK;Bink;;;
BIT ;RGB;RGB;;
BITM;H.261;Microsoft;;
BLOX;Blox;;Jan Jezabek BLOX MPEG;http://www.ii.uj.edu.pl/~jezabek/blox/blox-0.1.0b.zip
BLZ0;MPEG-4 Visual;DivX;DivX for Blizzard Decoder Filter;http://ffdshow-tryout.sourceforge.net/
BT20;MediaStream;;Conexant ProSummer MediaStream;
BTCV;Composite;;Conexant Composite Video;
BTVC;Composite;;Conexant Composite Video;
BW00;Wavelet;BergWave;;
BW10;MPEG-1;Broadway;Data Translation Broadway MPEG Capture/Compression;
BXBG; RGB;Boxx;;
BXRG;RGB;Boxx;;
BXY2;YUV;Boxx;10-bit;
BXYV;YUV;Boxx;;
CC12;YUV;Intel;;
CDV5;Digital Video;Canopus;Canopus SD50/DVHD;http://www.cineform.com/products/ConnectHD.htm
CDVC;Digital Video;Canopus;Canopus Digital Video (DV);http://www.cineform.com/products/ConnectHD.htm
CDVH;Digital Video;Canopus;Canopus SD50/DVHD;http://www.cineform.com/products/ConnectHD.htm
CFCC;M-JPEG;DPS Perception;Dummy format - only AVI header;
CFHD;CineForm HD;;CineForm 10-bit Visually Perfect HD (Wavelet);
CGDI;Camcorder;;Camcorder Video (MS Office 97);
CHAM;Champagne;;Winnov Caviara Champagne;
CJPG;M-JPEG;Creative;Creative Video Blaster Webcam Go JPEG;
CLJR;YUV;;Cirrus Logic YUV 4:1:1;http://www.fourcc.org/indexyuv.htm
CLLC;Canopus;;Canopus LossLess;
CLPL;YUV;;Format similar to YV12 but including a level of indirection.;
CM10;MediaShow;;CyberLink Corporation;http://www.cyberlink.com
CMYK;CMYK;;Common Data Format in Printing;
COL0;MPEG-4 Visual;;Hacked MS MPEG-4 v3;http://ffdshow-tryout.sourceforge.net/
COL1;MPEG-4 Visual;;Hacked MS MPEG-4 v3;http://ffdshow-tryout.sourceforge.net/
CPLA;YUV;;Weitek YUV 4:2:0 Planar;
CRAM;MS Video;;Microsoft Video 1;
CSCD;CamStudio;;RenderSoft CamStudio lossless (LZO & GZIP compression);
CT10;TalkingShow;;CyberLink Corporation;http://www.cyberlink.com
CTRX;Citrix;;Citrix Scalable Video;
CUVC;Canopus HQ;;Canopus HQ;
CVID;Cinepack;;;http://www.cinepak.com/text.html
cvid;Cinepack;;;http://www.cinepak.com/text.html
CWLT;WLT;;Microsoft Color WLT DIB;
CYUV;YUV;Creative Labs;Colorimetry=4:2:2;http://www.fourcc.org/indexyuv.htm
CYUY;YUV;ATI;;http://www.fourcc.org/indexyuv.htm
D261;H.261;DEC;;
D263;H.263;DEC;;
DAVC;AVC;Dicas;;
DC25;Digital Video;MainConcept;;
DCAP;Digital Video;Pinnacle;;
DCL1;Data Connextion;;Conferencing;
DCT0;WniWni;;;
DFSC;VFW;;DebugMode FrameServer VFW;
DIB ;RGB;;;
DIV1;MPEG-4 Visual;FFMpeg;Hacked MS MPEG-4 V1;http://ffdshow-tryout.sourceforge.net/
DIV2;MPEG-4 Visual;MS MPEG-4 1/2;;http://ffdshow-tryout.sourceforge.net/
DIV3;MPEG-4 Visual;DivX 3 Low;;http://www.divx.com
DIV4;MPEG-4 Visual;DivX 3 Fast;;http://www.divx.com
DIV5;MPEG-4 Visual;DivX 5;;http://www.divx.com
DIV6;MPEG-4 Visual;MS MPEG-4 v3;;http://ffdshow-tryout.sourceforge.net/
DIVX;MPEG-4 Visual;DivX 4;Project Mayo;http://mediaarea.net/DIVX
divx;MPEG-4 Visual;DivX;Mainly used by Google;http://www.divx.com
DJPG;M-JPEG;Broadway 101;Data Translation, Inc.;
DM4V;MPEG-4 Visual;Dicas;;
DMB1;M-JPEG;Rainbow;Matrox Rainbow Runner hardware compression;http://mirror01.iptelecom.net.ua/~video/codecs/PICVideo.MJPG.v2.10.27.codec.exe
DMB2;M-JPEG;Paradigm;;
DMK2;V36 PDA;;ViewSonic V36 PDA Video;
DP02;MPEG-4 Visual;DynaPel;DynaPel MPEG-4;
DP16;YUV;Matsushita;With DPCM 6-bit compression, Colorimetry=4:1:1;
DP18;YUV;Matsushita;With DPCM 8-bit compression, Colorimetry=4:1:1
DP26;YUV;Matsushita;With DPCM 6-bit compression, Colorimetry=4:2:2
DP28;YUV;Matsushita;With DPCM 8-bit compression, Colorimetry=4:2:2
DP96;YUV;Matsushita;With DPCM 6-bit compression
DP98;YUV;Matsushita;With DPCM 8-bit compression
DP9L;YUV;Matsushita;With DPCM 6-bit compression
DPS0;M-JPEG;DPS Reality;Dummy format - only AVI header
DPSC;M-JPEG;DPS PAR;Dummy format - only AVI header
DRWX;Digital Video;Pinnacle;
DSVD;Digital Video;Microsoft;
DTMT;Media-100;;
DTNT;Media-100;;
DUCK;TrueMotion S;Duck Corporation;
DV10;RGB;BlueFish;BlueFish444 (lossless RGBA, YUV 10-bit)
DV25;Digital Video;DVCPro;
DV50;Digital Video;DVCPro5;
DVAN;Digital Video;Pinnacle DV300;;
DVC ;Digital Video;Apple;;http://www.apple.com/quicktime/download/standalone.html
DVCP;Digital Video;Apple;;http://www.apple.com/quicktime/download/standalone.html
DVCS;Digital Video;MainConcept;;
DVE2;Digital Video;Insoft DVE-2;InSoft DVE-2 Videoconferencing;
DVH1;Digital Video;Pinnacle;;
dvhd;Digital Video;HD;;
DVIS;Digital Video;DualMoon;;
DVL ;Digital Video;Radius;;
DVLP;Digital Video;Radius;;
DVMA;Digital Video;Darim;;
DVNM;DVNM;;Matsushita Electric Industrial Co., Ltd.;
DVOR;RGB;BlueFish;BlueFish444 (lossless RGBA, YUV 10-bit);
DVPN;Digital Video;Apple;;
DVPP;Digital Video;Apple;;
DVR ;MPEG Video;ASF;;
DVR1;Targa2000;;;
DVRS;Digital Video;DualMoon;;
dvsd;Digital Video;Sony;;
dvsl;Digital Video;Sony;;
DVSL;Digital Video;;;
DVX1;DVX 1 SP;;Lucent DVX1000SP Video Decoder;
DVX2;DVX 2 S;;Lucent DVX2000S Video Decoder;
DVX3;DVX 3 S;;Lucent DVX3000S Video Decoder;
DX50;MPEG-4 Visual;DivX 5;;http://mediaarea.net/DX50
DXGM;EA GameVideo;;;
DXT1;DirectX TC;;DirectX Compressed Texture (1bit alpha channel);
DXT2;DirectX TC;;DirectX Compressed Texture;
DXT3;DirectX TC;;DirectX Compressed Texture (4bit alpha channel);
DXT4;DirectX TC;;DirectX Compressed Texture;
DXT5;DirectX TC;;DirectX Compressed Texture (3bit alpha channel with interpolation);
DXTC;DirectX TC;;DirectX Texture Compression;
DXTn;DirectX TC;;Microsoft Compressed Texture;
DXTN;DirectX TC;;Microsoft DirectX Compressed Texture (DXTn);
EKQ0;Elsa KQ;;Elsa graphics card quick;
ELK0;Elsa LK;;Elsa graphics card;
EM2V;Elymonyx MPEG-2;;Etymonix MPEG-2 I-frame;
EQK0;Elsa;;Elsa graphics card quick;
ESCP;Escape;;Eidos Escape;
ETV1;eTreppid 1;;eTreppid Video 1;
ETV2;eTreppid 2;;eTreppid Video 2;
ETVC;eTreppid C;;eTreppid Video C;
FFDS;FFDS;;;http://ffdshow-tryout.sourceforge.net/
FFV1;FFV1;;;http://ffdshow-tryout.sourceforge.net/
FFVH;FFVH;;;http://ffdshow-tryout.sourceforge.net/
FLIC;FLI/FLC;Autodesk;;
FLJP;DField M-JPEG;;D-Vision Field Encoded M-JPEG with LSI (or Targa emulation);
FLV1;FFDS;;FFDShow supported;http://ffdshow-tryout.sourceforge.net/
FLV4;VP6;On2;;http://www.on2.com
FMJP;M-JPEG;D-Vision;;
FMP4;MPEG-4 Visual;;;http://ffdshow-tryout.sourceforge.net/
FPS1;FRAPS;;;http://www.fraps.com/
FRLE;M-JPEG;SoftLab-Nsk;SoftLab-NSK Y16 + Alpha RLE;
FRWA;M-JPEG;SoftLab-Nsk;SoftLab-NSK Vision Forward M-JPEG with Alpha-channel;
FRWD;M-JPEG;SoftLab-Nsk;SoftLab-NSK Vision Forward M-JPEG;
FRWT;M-JPEG;SoftLab-Nsk;SoftLab-NSK Vision Forward M-JPEG with Alpha-channel;
FRWU;M-JPEG;SoftLab-Nsk;SoftLab-NSK Vision Forward Uncompressed;
FVF1;Itered Fractal;;;
FVFW;FVFW;;;http://ffdshow-tryout.sourceforge.net/
FXT1;3DFX;;;
G2M2;GoToMeeting2;;Citrix Systems, Inc.;http://www.gotomeeting.com/
G2M3;GoToMeeting3;;Citrix Systems, Inc.;http://www.gotomeeting.com/
GEPJ;M-JPEG;White Pine;;
GJPG;Grand Tech GT891x;;;
GLCC;GigaLink;;;
GLZW;LZW;Gabest;;http://sourceforge.net/project/showfiles.php?group_id=82303&package_id=84358
GPEG;M-JPEG;Gabest;;http://sourceforge.net/project/showfiles.php?group_id=82303&package_id=84358
GPJM;M-JPEG;Pinnacle;;
GREY;YUV;;Simple grayscale video;http://www.fourcc.org/indexyuv.htm
GWLT;MS GWLT;;Microsoft Greyscale WLT DIB;
GXVE;ViVD V2;SoftMedia;;
H260;H.260;;;
H261;H.261;;;
H262;MPEG Video;;;
H263;H.263;;;
h263;H.263;;;http://www.apple.com/quicktime/download/standalone.html
H264;AVC;;;
h264;AVC;;;
H265;H.265;;;
H266;H.266;;;
H267;H.267;;
H268;H.268;;
H269;H.263;;
HD10;RGB;BlueFish;BlueFish444 (lossless RGBA, YUV 10-bit)
HDX4;Jomigo HDX4;;
HFYU;Huffman;;Huffman Lossless YUV and RGB formats (with Alpha-channel)
HMCR;Rendition;;Rendition Motion Compensation Format
HMRR;Rendition;;Rendition Motion Compensation Format
i263;H.263;;
I420;H.263;;
IAN ;Indeo 4;;
ICLB;CellB;;InSoft CellB Videoconferencing
IDM0;Wavelets 2;;IDM Motion Wavelets 2.0
IF09;H.261;Microsoft;
IFO9;YUV;Intel;
IGOR;PowerDVD;;
IJPG;M-JPEG;Intergraph;;
ILVC;Layered Video;Intel;;
ILVR;H.263+;;;
IMAC;MotionComp;;Intel hardware motion compensation.;
IMC1;YUV;;As YV12, except the U and V planes each have the same stride as the Y plane;
IMC2;YUV;;Similar to IMC1, except that the U and V lines are interleaved at half stride boundaries;
IMC3;YUV;;As IMC1, except that U and V are swapped;
IMC4;YUV;;As IMC2, except that U and V are swapped;
IMG ;YUV;;;
IMJG;Accom M-JPEG;;Accom SphereOUS M-JPEG with Alpha-channel;
IPDV;I-O DV;;I-O Data Device Giga AVI DV;
IPJ2;M-JPEG2000;;Image Power JPEG2000;
IR21;Indeo 2.1;;;
IRAW;YUV;;;http://www.fourcc.org/indexyuv.htm
ISME;ISME;;Intel;
IUYV;YUV;;Lead 16bpp. Interlaced version of UYVY (line order 0, 2, 4,....,1, 3, 5....);
IV30;Indeo 3;;Intel Indeo Video 3
IV31;Indeo 3;;Intel Indeo Video 3.1
