 BIT;;4CC;RGB;;CBR;Uncompressed;
 JPG;;4CC;M-JPEG;;;;
 PNG;;4CC;RGB;;CBR;;
 RAW;;4CC;RGB;;CBR;Uncompressed;http://www.fourcc.org/indexrgb.htm
 RGB;;4CC;RGB;;CBR;Uncompressed. Basic Windows bitmap format. 1, 4 and 8 bpp versions are palettised. 16, 24 and 32bpp contain Uncompressed RGB samples.;http://www.fourcc.org/indexrgb.htm
 RL4;;4CC;RGB;;CBR;RLE 4bpp;http://www.fourcc.org/indexrgb.htm
 RL8;;4CC;RGB;;CBR;RLE 8bpp;http://www.fourcc.org/indexrgb.htm
1978;;4CC;RGB;;CBR;A.M.Paredes predictor;http://www.pegasusimaging.com/cgi-bin/download2.cgi?LVIDB
2VUY;;4CC;YUV;;;Optibase VideoPump 8-bit 4:2:2 Component YCbCr;
3IV0;3ivX;4CC;MPEG-4 Visual;;;3ivX pre-1.0;http://www.3ivx.com/download/
3IV1;3ivX;4CC;MPEG-4 Visual;;;3ivX 1.0-3.5;http://www.3ivx.com/download/
3IV2;3ivX;4CC;MPEG-4 Visual;;;3ivX 4.0;http://www.3ivx.com/download/
3IVD;3ivX;4CC;MPEG-4 Visual;;;;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
3IVX;3ivX;4CC;MPEG-4 Visual;;;;http://www.3ivx.com/download/
3VID;3ivX;4CC;MPEG-4 Visual;;;;http://www.3ivx.com/download/
8BPS;QuickTime;4CC;RGB;;;Apple QuickTime Planar RGB with Alpha-channel;http://ffdshow.sourceforge.net/tikiwiki/tiki-index.php?page=Getting+ffdshow
AAS4;Autodesk;4CC;RGB;;;Autodesk Animator Studio RLE (warning: this is a discoutinued product);http://mirror01.iptelecom.net.ua/~video/codecs/Autodesk.Animator.v1.11.Codec.exe
AASC;Autodesk;4CC;RGB;;;Autodesk Animator Studio RLE (warning: this is a discoutinued product);http://mirror01.iptelecom.net.ua/~video/codecs/Autodesk.Animator.v1.11.Codec.exe
ABYR;;4CC;Kensigton low;;;Kensington (low resolution, low frame rate (6fps) for digital cameras);
ACTL;;4CC;ACT-L2;;;Streambox ACT-L2;http://www.streambox.com/products/act-L2_codec.htm
ADV1;WaveCodec;4CC;Wavelet;;;Loronix WaveCodec;http://www.loronix.com/products/video_clips/wavecodec.asp
ADVJ;Avid;4CC;M-JPEG;;;Avid M-JPEG. Aka AVRn;
AEIK;;4CC;Indeo 3.2;;;Intel Indeo Video 3.2 (Vector Quantization);
AEMI;VideoONE;4CC;MPEG Video;;;Array VideoONE MPEG-1-I Capture. Array's used for I frame only MPEG-1 AVI files;http://www.array.com
AFLC;Autodesk;4CC;FLC;;;Autodesk Animator Studio FLI (256 color) (warning: this is a discoutinued product);http://mirror01.iptelecom.net.ua/~video/codecs/Autodesk.Animator.v1.11.Codec.exe
AFLI;Autodesk;4CC;FLI;;;Autodesk Animator Studio FLI (256 color) (warning: this is a discoutinued product);http://mirror01.iptelecom.net.ua/~video/codecs/Autodesk.Animator.v1.11.Codec.exe
AHDV;CineForm HD;4CC;Wavelet;;;CineForm 10-bit Visually Perfect HD (Wavelet);http://www.cineform.com/products/ConnectHD.htm
AJPG;;4CC;M-JPEG;;;22fps JPEG-based for digital cameras;
ALPH;;4CC;Ziracom;;;Ziracom Digital Communications Inc.;
AMPG;VideoONE;4CC;MPEG-1;;;Array VideoONE MPEG;http://www.array.com
AMR ;;4CC;AMR;;;Speech codec;
ANIM;;4CC;RDX;;;Intel RDX;
AP41;AngelPotion;4CC;MPEG-4 Visual;;;AngelPotion Definitive 1 (hack of MS MPEG-4 v3);http://www.divxity.com/download/ap4v1-702.exe
AP42;AngelPotion;4CC;MPEG-4 Visual;;;AngelPotion Definitive 2 (hack of MS MPEG-4 v3);http://www.divxity.com/download/ap4v1-702.exe
ASLC;;4CC;AlparySoft Lossless;;;AlparySoft Lossless;http://www.free-codecs.com/download/Alparysoft_Lossless_Video_Codec.htm
ASV1;;4CC;Asus 1;;;Asus Video 1;ftp://ftp.asuscom.de/pub/asuscom/treiber/vga/ASUS_VGA_TOOLS/asv2dec.zip
ASV2;;4CC;Asus 2;;;Asus Video 2;ftp://ftp.asuscom.de/pub/asuscom/treiber/vga/ASUS_VGA_TOOLS/asv2dec.zip
ASVX;;4CC;Asus X;;;Asus Video X;ftp://ftp.asuscom.de/pub/asuscom/treiber/vga/ASUS_VGA_TOOLS/asv2dec.zip
ATM4;Nero;4CC;MPEG-4 Visual;;;Ahead Nero Digital MPEG-4;http://www.nero.com
