AIFF;;;M;Riff;Apple/SGI;aiff aifc aif;audio/x-aiff;
AMV;;;M;Riff;Chinese hack of AVI;amv;;http://en.wikipedia.org/wiki/AMV_video_format
AVI;;;M;Riff;Audio Video Interleave;avi;video/vnd.avi;
BDAV;;;M;Bdav;Blu-ray Video;m2ts;;
Blu-ray Clip info;;;M;Bdmv;;clpi;;
Blu-ray Index;;;M;Bdmv;;bdmv;;
Blu-ray Movie object;;;M;Bdmv;;bdmv;;
Blu-ray Playlist;;;M;Bdmv;;mpls;;
CDXA;;;M;Cdxa;;dat;;
Digital Video;;;M;DvdDif;;dv dif;video/DV;
DivX;;;M;Riff;Hack of AVI;divx;video/vnd.avi;http://www.divx.com
DPG;;;M;Dpg;Nintendo DS;dpg;;
DVD Video;;;M;Dvdv;;ifo;;
Flash Video;;;M;Flv;;flv;application/x-shockwave-flash;http://www.macromedia.com/go/getflashplayer
GXF;;;M;Gxf;SMPTE 360M;gxf;;
Google Video;;;M;Riff;Hack of AVI;gvi;;http://video.google.com/playerdownload.html
Matroska;;;M;Mk;;mkv mka mks;;http://packs.matroska.org/
MPEG-PS;;;M;MpegPs;;mpeg mpg m2p vob pss;video/MP2P;
MPEG-TS;;;M;MpegTs;;ts m2t m2s m4t m4s ts tp trp;video/MP2T;
MPEG-4;;;M;Mpeg4;;mp4 m4v m4a m4p 3gpp 3gp 3gpp2 3g2 k3g jpm jpx mqv ismv isma f4v;video/mp4;
MTV;;;M;Other;Chinese hack of MPEG-1 layer 3;mtv;;http://en.wikipedia.org/wiki/Chinese_MP4/MTV_Player
MXF;;;M;Mxf;;mxf;application/mxf;
NSV;;;M;Nsv;Nullsoft Streaming Video;nsv;;http://winamp.com
Ogg;;;M;Ogg;;ogg ogm;video/ogg;http://www.free-codecs.com/Ogg_DirectShow_Filters_download.htm
QuickTime;;;M;Mpeg4;Original Apple specifications;mov qt;video/quicktime;http://www.apple.com/quicktime/download/standalone.html
RealMedia;;;M;Rm;;rm rmvb ra;application/vnd.rn-realmedia;
RIFF-MMP;;;M;Riff;RIFF Multimedia Movie;;;
ShockWave;;;M;Swf;;swf;application/x-shockwave;http://www.macromedia.com/go/getflashplayer
SKM;;;M;Skm;Sky Korean Mobilephone;skm;;http://www.isky.co.kr/html/cs/download.jsp
Windows Media;;;M;Wm;;asf wmv wma;video/x-ms-wmv;
AVC;;;V;Avc;Advanced Video Codec;avc h264;video/H264;http://developers.videolan.org/x264.html
AVS Video;;;V;AvsV;Audio Video Standart, Video part;;;http://www.avs.org.cn/
Dirac;;;V;Dirac;;drc;;http://diracvideo.org/
FLC;;;V;Flic;;fli flc;;http://www.chem.nott.ac.uk/flc.html
FLI;;;V;Flic;;fli flc;;http://www.chem.nott.ac.uk/flc.html
FLIC;;;V;Flic;;fli flc;;http://www.chem.nott.ac.uk/flc.html
H.261;;;V;;;h261;video/H261;
H.263;;;V;;;h263;video/H263;
M-JPEG;;;V;;;;video/JPEG;
M-JPEG 2000;;;V;;;;video/MJ2;
MPEG Video;;;V;Mpegv;;mpgv mpv mp1v m1v mp2v m2v;video/MPV;
MPEG-4 Visual;;;V;Mpeg4;;m4v mp4v;video/MP4V-ES;
Theora;;;V;;;;;
VC-1;;;V;Vc1;;vc1;video/vc1;
AAC;;;A;;Advanced Audio Codec;aac;;
AC-3;;;A;Ac3;Audio Coding 3;ac3;;
ADIF;;;A;Adif;Audio Data Interchange Format;aac;;
ADTS;;;A;Adts;Audio Data Transport Stream;aac;;
ALS;;;A;Als;MPEG-4 Audio Lossless Coding;als;;http://www.nue.tu-berlin.de/forschung/projekte/lossless/mp4als.html#downloads
AMR;;;A;Amr;Adaptive Multi-Rate;amr;audio/AMR;http://www.apple.com/quicktime/download/standalone.html
