Main source;http://xmm.sourceforge.net/DivX5-6_Xvid_Bitstream_version.php;
413;5.0.0;UTC 2002-03-04
450;5.0.1;UTC 2002-04-09
481;5.0.2;UTC 2002-05-16
484;5.0.2;UTC 2002-05-16
487;5.0.2;UTC 2002-05-16
696;5.0.5 Beta(Tahanea);UTC 2003-01
740;5.0.3;UTC 2003-01-24
795;5.0.4 Beta1or2(Schizo);UTC 2003-01
804;5.0.4 Beta3(Schizo);UTC 2003-01
814;5.0.4 Beta4(Schizo);UTC 2003-01
822;5.0.4;UTC 2003-04-17
830;5.0.5;UTC 2003-04-24
894;5.0.5 Kauehi;UTC 2003-07-02
922;5.1.0 Beta1(Manihi);UTC 2003-07-26
936;5.1.0 Beta2(Kaukura);UTC 2003-08-02
959;5.1.0;UTC 2003-09-02
985;5.1.0 (HD?);UTC 2003-10
1009;5.1.1 Beta1;UTC 2003-10-21
1025;5.1.1 Beta2;UTC 2003-11
1031;5.1.1 (Maupiti);UTC 2003-11-19
1263;5.2.0;UTC 2004-07-15
1272;5.2.0 (DrDivX 105);UTC 2004-07-17
1307;5.2.1 Alpha;UTC 2004-09-08
1314;5.2.1 Beta;UTC 2004-09-08
1328;5.2.1 (WaffleDay);UTC 2004-09-08
1338;5.2.1 (DrDivX 106);UTC 2004-09-08
1394;5.3.0 Plasma Alpha (Tritium);UTC 2004-09-08
1408;5.3.0 Plasma Alpha (CoreBurn);UTC 2004-10
1429;>5.3.0, <5.9.0;
1438;>5.3.0, <5.9.0;
1453;5.9.0 Fusion (InertialConfinement);UTC 2005-01
1461;5.9.0 Fusion (HiggsBoson);UTC 2005-01
1528;5.9.0 Fusion (HiggsBoson);UTC 2005-03-05
1571;6.0.0;UTC 2005-06-15
1594;6.0.0 (DivX Converter1.0);UTC 2005-06
1599;6.0.0 Helium;UTC 2005-06
1612;6.0.0 Helium (GodFatherOfSoul);UTC 2005-06-15
1697;6.0.3 Fusion (ThermonuclearFusion);UTC 2005-10-18
1737;He-3 (TwinTurbocharger);UTC 2005-12
1786;6.1.0;UTC 2005-12-12
1828;6.1.1;UTC 2006-02-01
1893;6.2.0 Beta1;UTC 2006-03-25
1910;6.2.0;UTC 2006-04-11
1913;6.2.1;UTC 2006-04
1915;6.2.1 Patch1Beta;UTC 2006-04
1920;6.2.2;UTC 2006-04-26
1977;6.2.5;UTC 2006-06-16
1988;6.2.5;UTC 2006-07
2075;>6.2.5, <6.4.0;
2081;6.4.0 Beta1;UTC 2006-09-27
2086;6.4.0;UTC 2006-10-03
2201;6.5.0;UTC 2006-12
2207;6.5.1;UTC 2007-03
2292;6.6.0;UTC 2007-05-04
2306;6.6.1;
2309;6.6.1;
2318;6.6.1.4;
2396;6.7 Beta;UTC 2007-08-26
2432;6.7.0;UTC 2007-09-20
2510;6.8.0;UTC 2007-12-04
2521;6.8.0 Converter 6.6;
2559;6.8.2;UTC 2008-05-17
2676;6.8.3-6.8.4;UTC 2008-06-07
2816;6.8.5;UTC 2009-08-20
2851;6.8.5;UTC 2009-08-20
