Count;;;N NI;;;Count of objects available in this stream
StreamCount;;;N NI;;;Count of streams of that kind available
StreamKind;Menu;Menu;N NI;;;Stream type name
StreamKindID;;;N NI;;;Number of the stream (base=0)
StreamKindPos;;;N NI;;;When multiple streams, number of the stream (base=1)
Inform;;;N NT;;;Last **Inform** call
ID;;;N YI;;;A ID for this stream in this file
ID/String;;;Y NT;;;A ID for this stream in this file
UniqueID;;;N YI;;;A unique ID for this stream, should be copied with stream copy
MenuID;;;N YI;;;A menu ID for this stream in this file
MenuID/String;;;Y NT;;;A menu ID for this stream in this file
Format;;;Y YT;;;Format used
Format/Info;;;Y NT;;;Info about Format
Format/Url;;;N NT;;;Link
Codec;;;N YT;;;Deprecated
Codec/String;;;Y NT;;;Deprecated
Codec/Info;;;Y NT;;;Deprecated
Codec/Url;;;Y YT;;;Deprecated
Title;;;Y YI;;;Name of this menu
Language;;;N YT;;;Language (2 letters)
Language/String;;;Y NT;;;Language (full)
Language_More;;;Y YT;;;More info about Language (director's comment...)
List;;;N YT;;;List of programs available
List/String;;;Y NT;;;
