Count;;;N NI;;;Count of objects available in this stream
StreamCount;;;N NI;;;Count of streams of that kind available
StreamKind;Video;Video;N NI;;;Stream type name
StreamKindID;;;N NI;;;Number of the stream (base=0)
StreamKindPos;;;N NI;;;When multiple streams, number of the stream (base=1)
Inform;;;N NT;;;Last **Inform** call
ID;;;N YI;;;A ID for this stream in this file
ID/String;;;Y NT;;;A ID for this stream in this file
UniqueID;;;N YI;;;A unique ID for this stream, should be copied with stream copy
MenuID;;;N YI;;;A menu ID for this stream in this file
MenuID/String;;;Y NT;;;A menu ID for this stream in this file
Format;;;Y YT;;;Format used
Format/Info;;;Y NT;;;Info about Format
Format/Url;;;N NT;;;Link
Format_Version;;;Y NT;;;Version of this format
Format_Profile;;;Y NT;;;Profile of the Format
Format_Settings;;;N NT;;;Settings needed for decoder used, summary
Format_Settings_BVOP;;;Y NT;;;Settings needed for decoder used, detailled
Format_Settings_QPel;;;Y NT;;;Settings needed for decoder used, detailled
Format_Settings_GMC;; warppoints;N NI;;;Settings needed for decoder used, detailled
Format_Settings_GMC/String;;;Y NT;;;
Format_Settings_Matrix;;;Y NT;;;Settings needed for decoder used, detailled
Format_Settings_Matrix_Data;;;N NT;;;Matrix, in binary format encoded BASE64. Order = intra, non-intra, gray intra, gray non-intra
Format_Settings_CABAC;;;Y NT;;;Settings needed for decoder used, detailled
Format_Settings_RefFrames;; frames;Y NT;;;Settings needed for decoder used, detailled
MuxingMode;;;Y NT;;;How this file is muxed in the container
CodecID;;;Y YT;;;Codec ID (found in some containers)
CodecID/Info;;;Y NT;;;Info about codec ID
CodecID/Hint;;;Y NT;;;A hint for this codec ID
CodecID/Url;;;Y NT;;;A link for more details about this codec ID
CodecID_Description;;;Y NT;;;Manual description given by the container
Codec;;;N NT;;;Deprecated
Codec/String;;;N NT;;;Deprecated
Codec/Family;;;N NT;;;Deprecated
Codec/Info;;;N NT;;;Deprecated
Codec/Url;;;N NT;;;Deprecated
Codec/CC;;;N NT;;;Deprecated
Codec_Profile;;;N NT;;;Deprecated
Codec_Description;;;N NT;;;Deprecated
Codec_Settings;;;N NT;;;Deprecated
Codec_Settings_PacketBitStream;;;N NT;;;Deprecated
Codec_Settings_BVOP;;;N NT;;;Deprecated
Codec_Settings_QPel;;;N NT;;;Deprecated
Codec_Settings_GMC;; warppoints;N NT;;;Deprecated
Codec_Settings_GMC/String;;;N NT;;;Deprecated
Codec_Settings_Matrix;;;N NT;;;Deprecated
Codec_Settings_Matrix_Data;;;N NT;;;Deprecated
Codec_Settings_CABAC;;;N NT;;;Deprecated
Codec_Settings_RefFrames;; frames;N NT;;;Deprecated
Duration;; ms;N YI;;;Play time of the stream
Duration/String;;;Y NT;;;Play time (formated)
Duration/String1;;;N NT;;;Play time in format : HHh MMmn SSs MMMms, XX omited if zero
Duration/String2;;;N NT;;;Play time in format : XXx YYy only, YYy omited if zero
Duration/String3;;;N NT;;;Play time in format : HH:MM:SS.MMM
BitRate_Mode;;;Y YT;;;Bit rate mode (VBR, CBR)
BitRate;; bps;N YF;;;Bit rate in bps
BitRate/String;;;Y NT;;;Bit rate (with measurement)
BitRate_Minimum;; bps;N YF;;;Minimum Bit rate in bps
BitRate_Minimum/String;;;Y NT;;;Minimum Bit rate (with measurement)
BitRate_Nominal;; bps;N YF;;;Nominal Bit rate in bps
BitRate_Nominal/String;;;Y NT;;;Nominal Bit rate (with measurement)
BitRate_Maximum;; bps;N YF;;;Maximum Bit rate in bps
BitRate_Maximum/String;;;Y NT;;;Maximum Bit rate (with measurement)
Width;; pixel;N YI;;;Width
Width/String;;;Y NT;;;
Height;; pixel;N YI;;;Height
Height/String;;;Y NT;;;
PixelAspectRatio;;;N YF;;;Pixel Aspect ratio
PixelAspectRatio/String;;;N NT;;;Pixel Aspect ratio
DisplayAspectRatio;;;N YF;;;Display Aspect ratio
DisplayAspectRatio/String;;;Y NT;;;Display Aspect ratio
FrameRate_Mode;;;Y YT;;;Frame rate mode (CFR, VFR)
FrameRate;; fps;N YF;;;Frame rate
FrameRate/String;;;Y NT;;;Frame rate
FrameRate_Minimum;; fps;N YF;;;Frame rate
FrameRate_Minimum/String;;;Y NT;;;Frame rate
FrameRate_Nominal;; fps;N YF;;;Frame rate
FrameRate_Nominal/String;;;Y NT;;;Frame rate
FrameRate_Maximum;; fps;N YF;;;Frame rate
FrameRate_Maximum/String;;;Y NT;;;Frame rate
FrameRate_Original;; fps;N YF;;;Frame rate
FrameRate_Original/String;;;Y NT;;;Frame rate
FrameCount;;;N NI;;;Frame count
Standard;;;Y NT;;;NTSC or PAL
Resolution;; bit;N YI;;;example for MP3 : 16 bits
Resolution/String;;;Y NT;;;example for MP3 : 16 bits
Colorimetry;;;Y YT;;;
ScanType;;;N YT;;;
ScanType/String;;;Y NT;;;
ScanOrder;;;N YT;;;
ScanOrder/String;;;Y NT;;;
Interlacement;;;N NT;;;Deprecated
Interlacement/String;;;N NT;;;Deprecated
Bits-(Pixel*Frame);;;Y YF;;;bits/(Pixel*Frame) (like Gordian Knot)
Delay;; ms;N NI;;;Delay fixed in the stream (relative) IN MS
Delay/String;;;N NT;;;
Delay/String1;;;N NT;;;;;
Delay/String2;;;N NT;;;;;
Delay/String3;;;N NT;;;;;
StreamSize;; byte;N YI;;;Stream size in bytes;;
StreamSize/String;;;Y NT;;;;;
StreamSize/String1;;;N NT;;;;;
StreamSize/String2;;;N NT;;;;;
StreamSize/String3;;;N NT;;;;;
StreamSize/String4;;;N NT;;;;;
Title;;;Y YI;;;Name of the track;;
Encoded_Application;;;Y YT;;;Software. Identifies the name of the software package used to create the file, such as Microsoft WaveEdit.;;Technical
Encoded_Application/Url;;;N YT;;;Software. Identifies the name of the software package used to create the file, such as Microsoft WaveEdit.;;Technical
Encoded_Library;;;N YT;;;Software used to create the file;;
Encoded_Library/String;;;Y NT;;;Software detailled name;;
Encoded_Library/Date;;;Y NT;;;Date of software;;
Encoded_Library_Settings;;;Y YT;;;Parameters used by the software;;
Language;;;N YT;;;Language (2 letters);;
Language/String;;;Y NT;;;Language (full);;
Language_More;;;Y YT;;;More info about Language (director's comment...);;
Encoded_Date;;;Y YT;;;The time that the encoding of this item was completed began.;;Temporal
Tagged_Date;;;Y YT;;;The time that the tags were done for this item.;;Temporal
Encryption;;;Y YT;;;;;
Coherency/PlayTime;;;N NT;;;Playtime if detected wrong;;
